TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
8832.722,437.44,523.87,406.69,-197.52,-384.61,-232.85,104.43,104.43,104.43
8832.753,421.53,500.30,410.07,-190.01,-363.03,-232.45,104.43,104.43,104.43
8832.794,421.53,500.30,410.07,-190.01,-363.03,-232.45,104.43,104.43,104.43
8832.827,406.41,446.68,413.51,-168.15,-339.72,-235.75,104.43,104.43,104.43
8832.874,406.41,446.68,413.51,-168.15,-339.72,-235.75,104.43,104.43,104.43
8832.921,375.39,494.86,406.99,-156.05,-355.17,-237.47,90.79,90.79,90.79
8832.952,375.39,494.86,406.99,-156.05,-355.17,-237.47,90.79,90.79,90.79
8832.999,423.65,487.64,412.38,-191.11,-364.04,-232.79,90.79,90.79,90.79
8833.031,423.65,487.64,412.38,-191.11,-364.04,-232.79,90.79,90.79,90.79
8833.078,412.74,486.63,410.16,-179.88,-361.52,-232.62,90.79,90.79,90.79
8833.124,412.74,486.63,410.16,-179.88,-361.52,-232.62,90.79,90.79,90.79
8833.182,444.10,491.46,412.43,-190.19,-366.31,-233.57,99.24,99.24,99.24
8833.213,444.10,491.46,412.43,-190.19,-366.31,-233.57,99.24,99.24,99.24
8833.245,416.82,481.41,410.32,-187.84,-359.63,-232.67,99.24,99.24,99.24
8833.291,416.82,481.41,410.32,-187.84,-359.63,-232.67,99.24,99.24,99.24
8833.323,434.90,494.60,410.71,-191.50,-365.00,-232.44,99.24,99.24,99.24
8833.37,434.90,494.60,410.71,-191.50,-365.00,-232.44,99.24,99.24,99.24
8833.416,385.87,470.13,412.55,-162.89,-343.68,-239.09,88.01,88.01,88.01
8833.495,385.87,470.13,412.55,-162.89,-343.68,-239.09,88.01,88.01,88.01
8833.526,385.89,530.01,406.50,-166.64,-370.37,-233.67,88.01,88.01,88.01
8833.573,385.89,530.01,406.50,-166.64,-370.37,-233.67,88.01,88.01,88.01
8833.604,381.89,527.19,404.54,-164.14,-369.91,-233.00,88.01,88.01,88.01
8833.651,381.89,527.19,404.54,-164.14,-369.91,-233.00,88.01,88.01,88.01
8833.682,388.08,464.07,411.17,-159.69,-344.96,-238.41,77.38,77.38,77.38
8833.713,388.08,464.07,411.17,-159.69,-344.96,-238.41,77.38,77.38,77.38
8833.745,413.72,491.19,406.56,-184.63,-362.31,-234.59,77.38,77.38,77.38
8833.791,413.72,491.19,406.56,-184.63,-362.31,-234.59,77.38,77.38,77.38
8833.823,407.37,477.41,407.93,-167.87,-358.48,-235.48,77.38,77.38,77.38
8833.87,407.37,477.41,407.93,-167.87,-358.48,-235.48,77.38,77.38,77.38
8833.916,435.15,497.35,407.73,-186.34,-367.60,-236.91,83.92,83.92,83.92
8833.963,435.15,497.35,407.73,-186.34,-367.60,-236.91,83.92,83.92,83.92
8833.995,403.53,494.91,414.24,-177.33,-361.30,-238.38,83.92,83.92,83.92
8834.041,403.53,494.91,414.24,-177.33,-361.30,-238.38,83.92,83.92,83.92
8834.088,414.27,484.55,411.08,-186.10,-360.69,-232.77,83.92,83.92,83.92
8834.12,414.27,484.55,411.08,-186.10,-360.69,-232.77,83.92,83.92,83.92
8834.166,439.91,441.54,417.33,-196.59,-344.51,-232.16,85.05,85.05,85.05
8834.209,439.91,441.54,417.33,-196.59,-344.51,-232.16,85.05,85.05,85.05
8834.24,439.42,440.45,414.28,-195.13,-346.51,-233.47,85.05,85.05,85.05
8834.287,439.42,440.45,414.28,-195.13,-346.51,-233.47,85.05,85.05,85.05
8834.334,433.68,458.04,415.21,-192.40,-348.02,-231.70,85.05,85.05,85.05
8834.365,433.68,458.04,415.21,-192.40,-348.02,-231.70,85.05,85.05,85.05
8834.396,433.68,458.04,415.21,-192.40,-348.02,-231.70,85.05,85.05,85.05
8834.443,454.44,439.65,415.22,-194.47,-342.16,-231.04,106.76,106.76,106.76
8834.474,454.44,439.65,415.22,-194.47,-342.16,-231.04,106.76,106.76,106.76
8834.521,414.20,504.88,409.09,-187.28,-368.08,-231.23,106.76,106.76,106.76
8834.553,414.20,504.88,409.09,-187.28,-368.08,-231.23,106.76,106.76,106.76
8834.599,421.86,492.39,409.62,-183.16,-369.66,-231.18,106.76,106.76,106.76
8834.631,421.86,492.39,409.62,-183.16,-369.66,-231.18,106.76,106.76,106.76
8834.677,422.40,519.07,402.26,-193.44,-379.78,-229.81,88.34,88.34,88.34
8834.724,422.40,519.07,402.26,-193.44,-379.78,-229.81,88.34,88.34,88.34
8834.756,424.63,502.45,403.13,-192.91,-370.32,-233.42,88.34,88.34,88.34
8834.802,424.63,502.45,403.13,-192.91,-370.32,-233.42,88.34,88.34,88.34
8834.834,403.12,478.58,408.06,-180.36,-360.11,-235.04,88.34,88.34,88.34
8834.881,403.12,478.58,408.06,-180.36,-360.11,-235.04,88.34,88.34,88.34
8834.912,431.33,499.24,408.86,-192.37,-373.35,-232.55,69.39,69.39,69.39
8834.959,431.33,499.24,408.86,-192.37,-373.35,-232.55,69.39,69.39,69.39
8834.99,432.71,494.03,408.81,-189.12,-368.13,-231.94,69.39,69.39,69.39
8835.037,432.71,494.03,408.81,-189.12,-368.13,-231.94,69.39,69.39,69.39
8835.084,1294.08,444.74,426.58,502.91,-336.66,-233.48,69.39,69.39,69.39
8835.131,1294.08,444.74,426.58,502.91,-336.66,-233.48,69.39,69.39,69.39
8835.178,971.31,487.58,412.74,196.39,-365.60,-225.22,220.06,220.06,220.06
8835.209,971.31,487.58,412.74,196.39,-365.60,-225.22,220.06,220.06,220.06
8835.271,826.35,475.28,410.15,166.47,-364.86,-227.80,220.06,220.06,220.06
8835.303,826.35,475.28,410.15,166.47,-364.86,-227.80,220.06,220.06,220.06
8835.349,754.07,480.02,412.34,-158.36,-363.43,-228.89,220.06,220.06,220.06
8835.381,754.07,480.02,412.34,-158.36,-363.43,-228.89,220.06,220.06,220.06
8835.427,714.73,519.99,406.89,-151.63,-381.89,-228.30,113.38,113.38,113.38
