set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "T.x" w linespoints
11727.027,304.33,470.27,421.06,0
11727.074,304.33,470.27,421.06,0
11727.105,307.89,467.51,405.18,0
11727.152,307.89,467.51,405.18,0
11727.194,312.86,474.26,406.19,0
11727.241,312.86,474.26,406.19,0
11727.273,283.30,473.24,395.91,0
11727.319,283.30,473.24,395.91,0
11727.351,278.17,488.26,388.22,0
11727.413,278.17,488.26,388.22,0
11727.444,306.48,459.21,401.57,0
11727.491,306.48,459.21,401.57,0
11727.523,285.17,476.46,366.52,0
11727.569,285.17,476.46,366.52,0
11727.601,292.13,421.10,426.50,0
11727.663,292.13,421.10,426.50,0
11727.71,307.92,422.80,442.29,0
11727.741,307.92,422.80,442.29,0
11727.773,281.75,476.55,423.80,0
11727.819,281.75,476.55,423.80,0
11727.851,283.41,467.13,446.56,0
11727.898,283.41,467.13,446.56,0
11727.929,291.29,497.75,426.47,0
11727.976,291.29,497.75,426.47,0
11728.007,284.24,483.58,453.99,0
11728.038,284.24,483.58,453.99,0
11728.074,284.24,483.58,453.99,0
11728.114,308.64,467.67,437.28,0
11728.161,308.64,467.67,437.28,0
11728.203,296.16,493.14,385.37,0
11728.265,287.03,491.02,450.70,0
11728.297,287.03,491.02,450.70,0
11728.343,287.03,491.02,450.70,0
11728.375,284.93,469.12,426.96,0
11728.422,284.93,469.12,426.96,0
11728.452,294.29,477.92,465.42,0
11728.499,294.29,477.92,465.42,0
11728.537,292.81,442.77,470.16,0
11728.584,292.81,442.77,470.16,0
11728.615,302.14,447.15,443.22,0
11728.662,302.14,447.15,443.22,0
11728.709,280.42,472.99,399.35,0
11728.756,280.42,472.99,399.35,0
11728.787,289.01,475.51,410.71,0
11728.834,289.01,475.51,410.71,0
11728.865,287.39,452.14,416.74,0
11728.912,287.39,452.14,416.74,0
11728.943,277.64,461.36,419.94,0
11728.99,277.64,461.36,419.94,0
11729.021,281.44,462.14,407.13,0
11729.068,281.44,462.14,407.13,0
11729.099,284.69,475.48,382.99,0
11729.146,284.69,475.48,382.99,0
11729.176,284.80,454.44,406.95,0
11729.213,284.80,454.44,406.95,0
11729.26,284.80,454.44,406.95,0
11729.291,278.60,476.68,377.54,0
11729.322,278.60,476.68,377.54,0
