TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
12047.011,399.41,464.77,273.59,-181.19,-365.94,-218.37,144.49,144.49,144.49
12047.058,371.65,501.91,264.89,-152.86,-376.51,-214.32,144.49,144.49,144.49
12047.089,371.65,501.91,264.89,-152.86,-376.51,-214.32,144.49,144.49,144.49
12047.136,415.44,463.87,274.00,-178.91,-363.79,-217.44,91.18,91.18,91.18
12047.179,414.27,493.39,267.96,-174.90,-380.97,-215.39,91.18,91.18,91.18
12047.21,414.27,493.39,267.96,-174.90,-380.97,-215.39,91.18,91.18,91.18
12047.257,414.27,493.39,267.96,-174.90,-380.97,-215.39,91.18,91.18,91.18
12047.288,432.72,469.35,266.95,-180.41,-369.69,-212.54,91.18,91.18,91.18
12047.335,432.72,469.35,266.95,-180.41,-369.69,-212.54,91.18,91.18,91.18
12047.366,448.08,472.01,270.10,-189.46,-373.27,-211.40,84.60,84.60,84.60
12047.413,448.08,472.01,270.10,-189.46,-373.27,-211.40,84.60,84.60,84.60
12047.444,400.67,462.57,270.88,-185.13,-363.61,-212.99,84.60,84.60,84.60
12047.491,400.67,462.57,270.88,-185.13,-363.61,-212.99,84.60,84.60,84.60
12047.522,386.08,508.84,267.84,-167.35,-380.79,-211.85,84.60,84.60,84.60
12047.569,386.08,508.84,267.84,-167.35,-380.79,-211.85,84.60,84.60,84.60
12047.601,385.35,499.60,267.53,-168.06,-378.32,-212.25,62.36,62.36,62.36
12047.645,385.35,499.60,267.53,-168.06,-378.32,-212.25,62.36,62.36,62.36
12047.692,387.36,474.52,268.48,-160.78,-365.68,-214.10,62.36,62.36,62.36
12047.754,387.36,474.52,268.48,-160.78,-365.68,-214.10,62.36,62.36,62.36
12047.785,430.80,468.84,269.84,-188.48,-372.02,-210.43,62.36,62.36,62.36
12047.832,430.80,468.84,269.84,-188.48,-372.02,-210.43,62.36,62.36,62.36
12047.863,426.21,477.83,269.81,-183.20,-369.52,-211.48,97.43,97.43,97.43
12047.899,426.21,477.83,269.81,-183.20,-369.52,-211.48,97.43,97.43,97.43
12047.936,417.19,473.53,268.65,-180.58,-378.92,-211.67,97.43,97.43,97.43
12047.983,417.19,473.53,268.65,-180.58,-378.92,-211.67,97.43,97.43,97.43
12048.03,405.70,487.55,267.02,-168.77,-371.98,-211.51,97.43,97.43,97.43
12048.077,405.70,487.55,267.02,-168.77,-371.98,-211.51,97.43,97.43,97.43
12048.124,393.96,477.44,275.77,-175.65,-371.40,-217.54,96.87,96.87,96.87
12048.155,393.96,477.44,275.77,-175.65,-371.40,-217.54,96.87,96.87,96.87
12048.213,388.65,478.25,270.58,-169.58,-365.48,-214.35,96.87,96.87,96.87
12048.26,388.65,478.25,270.58,-169.58,-365.48,-214.35,96.87,96.87,96.87
12048.306,402.05,475.25,270.29,-179.90,-373.12,-211.14,96.87,96.87,96.87
12048.338,402.05,475.25,270.29,-179.90,-373.12,-211.14,96.87,96.87,96.87
12048.369,437.17,465.49,274.04,-204.33,-373.20,-209.31,94.74,94.74,94.74
12048.416,437.17,465.49,274.04,-204.33,-373.20,-209.31,94.74,94.74,94.74
12048.463,420.70,473.62,271.09,-175.63,-374.16,-213.50,94.74,94.74,94.74
12048.494,420.70,473.62,271.09,-175.63,-374.16,-213.50,94.74,94.74,94.74
12048.541,421.93,469.94,270.39,-180.11,-369.75,-211.17,94.74,94.74,94.74
12048.572,421.93,469.94,270.39,-180.11,-369.75,-211.17,94.74,94.74,94.74
12048.603,421.93,469.94,270.39,-180.11,-369.75,-211.17,94.74,94.74,94.74
12048.65,440.93,458.23,295.52,-196.12,-365.55,-232.13,91.81,91.81,91.81
12048.681,440.93,458.23,295.52,-196.12,-365.55,-232.13,91.81,91.81,91.81
12048.744,380.41,480.05,269.22,-157.43,-360.88,-219.53,91.81,91.81,91.81
12048.791,414.96,481.27,269.57,-179.24,-378.60,-210.04,91.81,91.81,91.81
12048.822,414.96,481.27,269.57,-179.24,-378.60,-210.04,91.81,91.81,91.81
12048.853,414.96,481.27,269.57,-179.24,-378.60,-210.04,91.81,91.81,91.81
12048.9,412.41,489.66,267.90,-181.97,-376.46,-210.18,78.95,78.95,78.95
12048.931,412.41,489.66,267.90,-181.97,-376.46,-210.18,78.95,78.95,78.95
12048.978,415.84,461.15,267.59,-182.66,-369.13,-210.31,78.95,78.95,78.95
12049.01,415.84,461.15,267.59,-182.66,-369.13,-210.31,78.95,78.95,78.95
12049.057,371.83,473.32,264.12,-151.75,-361.38,-212.99,78.95,78.95,78.95
12049.088,371.83,473.32,264.12,-151.75,-361.38,-212.99,78.95,78.95,78.95
12049.119,406.98,1362.87,270.95,-184.24,-760.33,-212.71,52.43,52.43,52.43
12049.166,406.98,1362.87,270.95,-184.24,-760.33,-212.71,52.43,52.43,52.43
12049.208,436.12,1867.67,271.70,-189.66,-409.65,-212.34,52.43,52.43,52.43
12049.255,436.12,1867.67,271.70,-189.66,-409.65,-212.34,52.43,52.43,52.43
12049.286,425.47,1863.96,267.27,-180.35,-415.09,-211.26,52.43,52.43,52.43
12049.333,425.47,1863.96,267.27,-180.35,-415.09,-211.26,52.43,52.43,52.43
12049.364,445.40,1872.35,269.40,-190.28,-415.17,-209.76,99.42,99.42,99.42
12049.411,445.40,1872.35,269.40,-190.28,-415.17,-209.76,99.42,99.42,99.42
