TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
9114.528,377.25,496.04,401.71,-181.94,-371.69,-225.51,77.23,77.23,77.23
9114.591,377.25,496.04,401.71,-181.94,-371.69,-225.51,77.23,77.23,77.23
9114.637,383.21,484.05,404.70,-178.85,-362.47,-225.22,77.23,77.23,77.23
9114.684,383.21,484.05,404.70,-178.85,-362.47,-225.22,77.23,77.23,77.23
9114.716,363.88,492.34,401.69,-169.58,-367.47,-227.75,80.65,80.65,80.65
9114.747,363.88,492.34,401.69,-169.58,-367.47,-227.75,80.65,80.65,80.65
9114.794,364.55,494.19,401.18,-162.07,-364.06,-228.56,80.65,80.65,80.65
9114.841,364.55,494.19,401.18,-162.07,-364.06,-228.56,80.65,80.65,80.65
9114.872,387.85,473.71,407.78,-184.61,-361.02,-225.85,80.65,80.65,80.65
9114.919,387.85,473.71,407.78,-184.61,-361.02,-225.85,80.65,80.65,80.65
9114.966,326.61,497.27,398.50,-139.88,-356.06,-228.42,98.68,98.68,98.68
9114.997,326.61,497.27,398.50,-139.88,-356.06,-228.42,98.68,98.68,98.68
9115.044,334.56,457.36,403.22,-138.62,-342.72,-230.36,98.68,98.68,98.68
9115.075,334.56,457.36,403.22,-138.62,-342.72,-230.36,98.68,98.68,98.68
9115.122,383.88,490.50,407.56,-174.47,-363.61,-226.56,98.68,98.68,98.68
9115.153,383.88,490.50,407.56,-174.47,-363.61,-226.56,98.68,98.68,98.68
9115.195,306.71,488.64,400.63,-133.88,-348.03,-231.26,83.33,83.33,83.33
9115.226,306.71,488.64,400.63,-133.88,-348.03,-231.26,83.33,83.33,83.33
9115.258,306.71,488.64,400.63,-133.88,-348.03,-231.26,83.33,83.33,83.33
9115.305,366.96,483.30,401.14,-163.46,-356.63,-226.13,83.33,83.33,83.33
9115.336,366.96,483.30,401.14,-163.46,-356.63,-226.13,83.33,83.33,83.33
9115.383,346.42,456.46,399.87,-162.35,-346.65,-228.53,83.33,83.33,83.33
9115.43,346.42,456.46,399.87,-162.35,-346.65,-228.53,83.33,83.33,83.33
9115.476,406.49,497.94,398.00,-190.87,-376.39,-221.78,59.41,59.41,59.41
9115.508,406.49,497.94,398.00,-190.87,-376.39,-221.78,59.41,59.41,59.41
9115.555,376.13,497.30,400.97,-173.40,-367.07,-225.27,59.41,59.41,59.41
9115.601,376.13,497.30,400.97,-173.40,-367.07,-225.27,59.41,59.41,59.41
9115.664,383.06,486.28,400.41,-179.58,-367.68,-225.80,59.41,59.41,59.41
9115.711,362.24,480.62,399.21,-163.21,-361.79,-227.53,91.99,91.99,91.99
9115.742,362.24,480.62,399.21,-163.21,-361.79,-227.53,91.99,91.99,91.99
9115.773,362.24,480.62,399.21,-163.21,-361.79,-227.53,91.99,91.99,91.99
9115.836,351.46,500.65,395.00,-148.48,-365.69,-227.12,91.99,91.99,91.99
9115.867,376.76,496.26,396.85,-167.99,-367.50,-225.48,91.99,91.99,91.99
9115.914,376.76,496.26,396.85,-167.99,-367.50,-225.48,91.99,91.99,91.99
9115.961,332.56,477.46,399.95,-141.47,-352.92,-229.24,97.98,97.98,97.98
9116.008,332.56,477.46,399.95,-141.47,-352.92,-229.24,97.98,97.98,97.98
9116.039,360.19,481.47,401.15,-162.28,-358.68,-225.80,97.98,97.98,97.98
9116.086,360.19,481.47,401.15,-162.28,-358.68,-225.80,97.98,97.98,97.98
9116.133,362.45,486.16,415.16,-160.61,-360.06,-235.38,97.98,97.98,97.98
9116.19,362.45,486.16,415.16,-160.61,-360.06,-235.38,97.98,97.98,97.98
9116.237,375.05,443.08,409.72,-166.06,-340.97,-228.49,63.47,63.47,63.47
9116.269,375.05,443.08,409.72,-166.06,-340.97,-228.49,63.47,63.47,63.47
9116.3,361.37,483.19,401.43,-159.63,-359.28,-226.10,63.47,63.47,63.47
9116.347,361.37,483.19,401.43,-159.63,-359.28,-226.10,63.47,63.47,63.47
9116.378,371.56,489.69,398.16,-170.47,-366.99,-226.86,63.47,63.47,63.47
9116.425,371.56,489.69,398.16,-170.47,-366.99,-226.86,63.47,63.47,63.47
