TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
9068.501,389.41,506.69,401.59,-182.44,-378.18,-223.88,106.49,106.49,106.49
9068.548,391.90,444.52,407.11,-174.22,-351.74,-225.81,74.16,74.16,74.16
9068.58,391.90,444.52,407.11,-174.22,-351.74,-225.81,74.16,74.16,74.16
9068.626,351.99,522.73,396.02,-152.88,-371.29,-224.86,74.16,74.16,74.16
9068.673,351.99,522.73,396.02,-152.88,-371.29,-224.86,74.16,74.16,74.16
9068.72,391.17,466.68,404.05,-181.57,-362.42,-225.62,74.16,74.16,74.16
9068.751,391.17,466.68,404.05,-181.57,-362.42,-225.62,74.16,74.16,74.16
9068.783,395.47,459.10,404.38,-176.43,-352.15,-227.76,78.27,78.27,78.27
9068.83,395.47,459.10,404.38,-176.43,-352.15,-227.76,78.27,78.27,78.27
9068.861,378.06,451.24,403.70,-167.60,-346.18,-226.80,78.27,78.27,78.27
9068.939,378.06,451.24,403.70,-167.60,-346.18,-226.80,78.27,78.27,78.27
9068.986,335.47,456.15,402.18,-142.59,-345.59,-230.69,78.27,78.27,78.27
9069.033,330.35,468.86,399.80,-129.80,-344.40,-233.09,75.97,75.97,75.97
9069.08,330.35,468.86,399.80,-129.80,-344.40,-233.09,75.97,75.97,75.97
9069.111,392.50,502.98,401.52,-173.83,-376.28,-225.21,75.97,75.97,75.97
9069.158,392.50,502.98,401.52,-173.83,-376.28,-225.21,75.97,75.97,75.97
9069.2,373.22,472.94,405.05,-171.05,-355.93,-227.45,75.97,75.97,75.97
9069.247,373.22,472.94,405.05,-171.05,-355.93,-227.45,75.97,75.97,75.97
9069.294,394.05,504.02,402.48,-180.45,-377.12,-224.82,85.32,85.32,85.32
9069.325,394.05,504.02,402.48,-180.45,-377.12,-224.82,85.32,85.32,85.32
9069.372,354.45,462.03,405.48,-158.27,-344.07,-229.29,85.32,85.32,85.32
9069.419,354.45,462.03,405.48,-158.27,-344.07,-229.29,85.32,85.32,85.32
9069.466,387.38,488.63,402.86,-168.48,-358.35,-226.57,85.32,85.32,85.32
9069.497,387.38,488.63,402.86,-168.48,-358.35,-226.57,85.32,85.32,85.32
9069.544,353.85,493.90,396.05,-150.88,-364.69,-226.22,88.90,88.90,88.90
9069.591,353.85,493.90,396.05,-150.88,-364.69,-226.22,88.90,88.90,88.90
9069.653,365.93,441.50,404.76,-160.33,-342.56,-229.01,88.90,88.90,88.90
9069.7,324.27,478.11,397.68,-133.53,-350.87,-227.87,88.90,88.90,88.90
9069.731,324.27,478.11,397.68,-133.53,-350.87,-227.87,88.90,88.90,88.90
9069.778,351.61,522.50,393.21,-157.13,-375.14,-225.36,56.26,56.26,56.26
9069.809,351.61,522.50,393.21,-157.13,-375.14,-225.36,56.26,56.26,56.26
9069.856,351.61,522.50,393.21,-157.13,-375.14,-225.36,56.26,56.26,56.26
9069.887,373.76,486.10,399.13,-164.37,-362.40,-225.18,56.26,56.26,56.26
9069.934,373.76,486.10,399.13,-164.37,-362.40,-225.18,56.26,56.26,56.26
9069.966,417.25,483.83,403.96,-185.97,-367.15,-223.35,56.26,56.26,56.26
9070.012,417.25,483.83,403.96,-185.97,-367.15,-223.35,56.26,56.26,56.26
9070.044,374.24,486.79,400.31,-170.78,-359.42,-227.98,78.64,78.64,78.64
9070.09,374.24,486.79,400.31,-170.78,-359.42,-227.98,78.64,78.64,78.64
9070.122,378.37,518.26,407.16,-176.98,-378.21,-230.74,78.64,78.64,78.64
9070.169,378.37,518.26,407.16,-176.98,-378.21,-230.74,78.64,78.64,78.64
9070.216,415.58,484.01,406.65,-198.91,-363.92,-225.25,78.64,78.64,78.64
9070.262,415.58,484.01,406.65,-198.91,-363.92,-225.25,78.64,78.64,78.64
9070.294,356.82,515.16,397.35,-159.65,-374.87,-227.90,73.10,73.10,73.10
9070.341,356.82,515.16,397.35,-159.65,-374.87,-227.90,73.10,73.10,73.10
9070.372,374.98,442.56,403.94,-169.61,-345.90,-229.29,73.10,73.10,73.10
9070.419,374.98,442.56,403.94,-169.61,-345.90,-229.29,73.10,73.10,73.10
9070.466,336.91,515.69,393.98,-141.64,-365.16,-228.36,73.10,73.10,73.10
9070.512,336.91,515.69,393.98,-141.64,-365.16,-228.36,73.10,73.10,73.10
9070.544,423.43,478.71,403.28,-190.83,-357.26,-227.46,67.21,67.21,67.21
9070.591,423.43,478.71,403.28,-190.83,-357.26,-227.46,67.21,67.21,67.21
9070.622,526.20,489.14,406.23,191.44,-362.86,-229.42,67.21,67.21,67.21
9070.669,526.20,489.14,406.23,191.44,-362.86,-229.42,67.21,67.21,67.21
9070.716,504.91,492.29,397.50,179.39,-366.37,-228.89,67.21,67.21,67.21
9070.762,504.91,492.29,397.50,179.39,-366.37,-228.89,67.21,67.21,67.21
9070.794,479.57,510.97,395.03,156.43,-367.38,-228.52,66.83,66.83,66.83
9070.841,479.57,510.97,395.03,156.43,-367.38,-228.52,66.83,66.83,66.83
9070.872,506.74,534.33,395.21,183.43,-378.00,-224.61,66.83,66.83,66.83
9070.919,506.74,534.33,395.21,183.43,-378.00,-224.61,66.83,66.83,66.83
9070.966,478.66,488.15,400.36,163.76,-349.84,-229.98,66.83,66.83,66.83
9071.028,478.66,488.15,400.36,163.76,-349.84,-229.98,66.83,66.83,66.83
9071.075,494.22,478.34,402.76,178.42,-354.71,-223.93,78.67,78.67,78.67
9071.122,494.22,478.34,402.76,178.42,-354.71,-223.93,78.67,78.67,78.67
9071.153,492.86,488.77,403.20,180.68,-364.58,-227.07,78.67,78.67,78.67
9071.195,492.86,488.77,403.20,180.68,-364.58,-227.07,78.67,78.67,78.67
9071.227,495.26,498.08,401.47,178.54,-365.47,-229.15,78.67,78.67,78.67
9071.273,495.26,498.08,401.47,178.54,-365.47,-229.15,78.67,78.67,78.67
9071.305,498.59,505.37,401.52,180.50,-364.91,-227.97,70.24,70.24,70.24
9071.336,498.59,505.37,401.52,180.50,-364.91,-227.97,70.24,70.24,70.24
9071.383,488.71,494.79,405.34,177.04,-363.65,-229.25,70.24,70.24,70.24
9071.414,488.71,494.79,405.34,177.04,-363.65,-229.25,70.24,70.24,70.24
9071.445,488.71,494.79,405.34,177.04,-363.65,-229.25,70.24,70.24,70.24
9071.477,504.33,490.99,400.18,185.06,-365.76,-228.83,70.24,70.24,70.24
9071.539,504.33,490.99,400.18,185.06,-365.76,-228.83,70.24,70.24,70.24
9071.586,507.12,501.79,400.83,193.16,-365.72,-225.20,63.60,63.60,63.60
9071.633,516.64,537.91,396.57,177.83,-380.48,-222.97,63.60,63.60,63.60
9071.68,516.64,537.91,396.57,177.83,-380.48,-222.97,63.60,63.60,63.60
9071.711,464.82,509.89,397.01,133.32,-363.05,-230.66,63.60,63.60,63.60
9071.758,464.82,509.89,397.01,133.32,-363.05,-230.66,63.60,63.60,63.60
9071.805,488.40,487.10,405.37,176.63,-358.39,-229.32,56.73,56.73,56.73
9071.836,488.40,487.10,405.37,176.63,-358.39,-229.32,56.73,56.73,56.73
9071.883,495.02,479.36,402.43,177.51,-352.41,-225.88,56.73,56.73,56.73
9071.914,495.02,479.36,402.43,177.51,-352.41,-225.88,56.73,56.73,56.73
9071.961,495.02,479.36,402.43,177.51,-352.41,-225.88,56.73,56.73,56.73
9072.008,502.08,483.28,400.97,186.07,-363.17,-224.83,56.73,56.73,56.73
9072.039,511.67,490.17,400.55,192.24,-369.41,-223.39,81.99,81.99,81.99
9072.086,511.67,490.17,400.55,192.24,-369.41,-223.39,81.99,81.99,81.99
9072.133,501.28,494.91,399.43,173.17,-367.26,-224.67,81.99,81.99,81.99
9072.164,501.28,494.91,399.43,173.17,-367.26,-224.67,81.99,81.99,81.99
9072.206,501.28,494.91,399.43,173.17,-367.26,-224.67,81.99,81.99,81.99
9072.237,464.79,515.63,395.77,133.54,-362.15,-226.60,81.99,81.99,81.99
9072.269,464.79,515.63,395.77,133.54,-362.15,-226.60,81.99,81.99,81.99
9072.331,535.58,461.00,402.28,217.53,-354.20,-226.01,65.39,65.39,65.39
9072.378,535.58,461.00,402.28,217.53,-354.20,-226.01,65.39,65.39,65.39
9072.409,483.21,483.22,400.87,175.82,-362.28,-229.35,65.39,65.39,65.39
9072.441,483.21,483.22,400.87,175.82,-362.28,-229.35,65.39,65.39,65.39
9072.487,511.41,461.85,402.43,194.75,-349.49,-226.48,65.39,65.39,65.39
9072.519,511.41,461.85,402.43,194.75,-349.49,-226.48,65.39,65.39,65.39
9072.566,504.70,500.30,401.50,187.46,-367.83,-228.48,83.41,83.41,83.41
9072.612,504.70,500.30,401.50,187.46,-367.83,-228.48,83.41,83.41,83.41
9072.659,476.69,505.61,395.86,166.35,-364.95,-227.57,83.41,83.41,83.41
9072.691,476.69,505.61,395.86,166.35,-364.95,-227.57,83.41,83.41,83.41
9072.738,466.75,496.38,398.84,153.53,-352.86,-226.74,83.41,83.41,83.41
9072.769,466.75,496.38,398.84,153.53,-352.86,-226.74,83.41,83.41,83.41
9072.816,483.76,484.82,402.26,171.07,-355.27,-227.85,68.81,68.81,68.81
9072.862,483.76,484.82,402.26,171.07,-355.27,-227.85,68.81,68.81,68.81
9072.909,520.36,466.89,405.05,193.88,-360.78,-227.41,68.81,68.81,68.81
9072.941,520.36,466.89,405.05,193.88,-360.78,-227.41,68.81,68.81,68.81
9072.988,509.12,478.45,403.59,185.71,-365.68,-225.26,68.81,68.81,68.81
9073.019,509.12,478.45,403.59,185.71,-365.68,-225.26,68.81,68.81,68.81
9073.066,495.05,514.84,398.52,178.34,-378.28,-223.19,102.89,102.89,102.89
9073.097,495.05,514.84,398.52,178.34,-378.28,-223.19,102.89,102.89,102.89
9073.159,484.89,460.43,400.85,174.51,-346.54,-225.38,102.89,102.89,102.89
9073.191,484.89,460.43,400.85,174.51,-346.54,-225.38,102.89,102.89,102.89
9073.238,473.63,471.18,400.52,160.97,-357.87,-225.44,102.89,102.89,102.89
9073.269,473.63,471.18,400.52,160.97,-357.87,-225.44,102.89,102.89,102.89
9073.316,484.16,507.37,398.26,164.13,-374.75,-223.04,68.07,68.07,68.07
9073.347,484.16,507.37,398.26,164.13,-374.75,-223.04,68.07,68.07,68.07
9073.409,465.48,510.09,398.65,153.04,-371.86,-228.30,68.07,68.07,68.07
9073.441,465.48,510.09,398.65,153.04,-371.86,-228.30,68.07,68.07,68.07
9073.487,453.83,488.68,399.77,138.92,-351.47,-229.86,68.07,68.07,68.07
9073.519,453.83,488.68,399.77,138.92,-351.47,-229.86,68.07,68.07,68.07
9073.566,530.75,469.81,406.37,215.13,-363.36,-224.73,75.25,75.25,75.25
9073.597,530.75,469.81,406.37,215.13,-363.36,-224.73,75.25,75.25,75.25
9073.659,509.60,451.40,407.76,195.00,-344.80,-229.13,75.25,75.25,75.25
9073.691,509.60,451.40,407.76,195.00,-344.80,-229.13,75.25,75.25,75.25
9073.722,479.30,495.66,401.18,175.38,-365.96,-227.05,75.25,75.25,75.25
9073.753,479.30,495.66,401.18,175.38,-365.96,-227.05,75.25,75.25,75.25
9073.8,479.30,495.66,401.18,175.38,-365.96,-227.05,75.25,75.25,75.25
9073.831,515.66,505.02,402.62,204.15,-382.38,-222.31,93.73,93.73,93.73
9073.878,515.66,505.02,402.62,204.15,-382.38,-222.31,93.73,93.73,93.73
9073.909,466.94,479.64,400.24,159.63,-357.15,-228.90,93.73,93.73,93.73
9073.956,466.94,479.64,400.24,159.63,-357.15,-228.90,93.73,93.73,93.73
9073.988,516.22,440.94,407.35,203.33,-349.58,-227.68,93.73,93.73,93.73
9074.034,516.22,440.94,407.35,203.33,-349.58,-227.68,93.73,93.73,93.73
9074.066,484.79,520.33,398.52,176.24,-375.94,-225.12,88.67,88.67,88.67
9074.113,484.79,520.33,398.52,176.24,-375.94,-225.12,88.67,88.67,88.67
9074.159,466.96,483.15,403.66,167.05,-361.10,-229.85,88.67,88.67,88.67
9074.217,466.96,483.15,403.66,167.05,-361.10,-229.85,88.67,88.67,88.67
9074.264,513.44,485.37,405.22,206.22,-367.89,-226.00,88.67,88.67,88.67
9074.295,513.44,485.37,405.22,206.22,-367.89,-226.00,88.67,88.67,88.67
9074.342,468.92,484.28,403.28,167.74,-363.50,-226.44,97.04,97.04,97.04
9074.373,468.92,484.28,403.28,167.74,-363.50,-226.44,97.04,97.04,97.04
9074.436,476.01,437.22,403.61,175.79,-345.34,-229.24,97.04,97.04,97.04
9074.483,452.07,478.22,396.60,166.31,-362.23,-230.23,97.04,97.04,97.04
9074.514,452.07,478.22,396.60,166.31,-362.23,-230.23,97.04,97.04,97.04
9074.545,452.07,478.22,396.60,166.31,-362.23,-230.23,97.04,97.04,97.04
9074.608,479.76,479.73,399.99,181.01,-362.68,-228.26,95.14,95.14,95.14
9074.655,468.06,527.37,396.44,178.34,-378.01,-226.43,95.14,95.14,95.14
9074.701,468.06,527.37,396.44,178.34,-378.01,-226.43,95.14,95.14,95.14
9074.733,467.88,489.34,397.06,176.20,-358.45,-226.97,95.14,95.14,95.14
