TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
10199.079,468.87,492.23,369.98,-184.91,-373.48,-217.03,85.47,85.47,85.47
10199.11,468.87,492.23,369.98,-184.91,-373.48,-217.03,85.47,85.47,85.47
10199.157,494.63,468.51,379.54,-201.03,-369.40,-219.13,85.47,85.47,85.47
10199.199,494.63,468.51,379.54,-201.03,-369.40,-219.13,85.47,85.47,85.47
10199.262,427.46,504.18,369.62,-166.74,-362.77,-222.24,85.47,85.47,85.47
10199.297,461.79,463.04,375.02,-188.63,-360.29,-218.88,80.29,80.29,80.29
10199.344,461.79,463.04,375.02,-188.63,-360.29,-218.88,80.29,80.29,80.29
10199.391,457.17,503.06,370.57,-186.60,-377.01,-218.20,80.29,80.29,80.29
10199.422,457.17,503.06,370.57,-186.60,-377.01,-218.20,80.29,80.29,80.29
10199.453,457.17,503.06,370.57,-186.60,-377.01,-218.20,80.29,80.29,80.29
10199.5,500.78,500.81,376.36,-215.33,-380.70,-217.65,80.29,80.29,80.29
10199.532,500.78,500.81,376.36,-215.33,-380.70,-217.65,80.29,80.29,80.29
10199.578,480.60,452.79,378.37,-189.05,-348.77,-219.30,119.50,119.50,119.50
10199.61,480.60,452.79,378.37,-189.05,-348.77,-219.30,119.50,119.50,119.50
10199.657,451.55,506.55,375.36,-187.70,-375.97,-220.02,119.50,119.50,119.50
10199.688,451.55,506.55,375.36,-187.70,-375.97,-220.02,119.50,119.50,119.50
10199.75,481.21,463.81,378.80,-199.19,-361.73,-219.46,119.50,119.50,119.50
10199.782,481.21,463.81,378.80,-199.19,-361.73,-219.46,119.50,119.50,119.50
10199.813,466.63,486.81,373.70,-191.41,-365.24,-217.20,152.28,152.28,152.28
10199.86,466.63,486.81,373.70,-191.41,-365.24,-217.20,152.28,152.28,152.28
10199.907,461.21,528.87,369.28,-189.19,-389.89,-215.51,152.28,152.28,152.28
10199.953,461.21,528.87,369.28,-189.19,-389.89,-215.51,152.28,152.28,152.28
10200,473.62,465.60,375.38,-201.73,-354.48,-215.60,152.28,152.28,152.28
10200.032,473.62,465.60,375.38,-201.73,-354.48,-215.60,152.28,152.28,152.28
10200.063,478.58,536.00,372.36,-198.02,-390.12,-216.35,100.95,100.95,100.95
10200.12,478.58,536.00,372.36,-198.02,-390.12,-216.35,100.95,100.95,100.95
10200.152,483.84,497.80,376.68,-198.03,-371.71,-217.75,100.95,100.95,100.95
10200.198,483.84,497.80,376.68,-198.03,-371.71,-217.75,100.95,100.95,100.95
10200.237,454.97,492.09,372.82,-185.90,-368.56,-219.85,100.95,100.95,100.95
10200.299,454.97,492.09,372.82,-185.90,-368.56,-219.85,100.95,100.95,100.95
10200.353,468.34,488.66,375.00,-188.70,-370.67,-219.22,95.83,95.83,95.83
10200.384,468.34,488.66,375.00,-188.70,-370.67,-219.22,95.83,95.83,95.83
10200.422,1044.22,535.01,372.83,-360.07,-383.52,-218.13,95.83,95.83,95.83
10200.469,1044.22,535.01,372.83,-360.07,-383.52,-218.13,95.83,95.83,95.83
10200.5,1261.92,501.65,378.42,-219.94,-374.79,-214.81,95.83,95.83,95.83
10200.555,1261.92,501.65,378.42,-219.94,-374.79,-214.81,95.83,95.83,95.83
10200.586,1208.90,469.37,376.42,-178.44,-346.04,-221.50,191.04,191.04,191.04
10200.64,1208.90,469.37,376.42,-178.44,-346.04,-221.50,191.04,191.04,191.04
10200.672,1220.18,489.55,397.09,-196.01,-365.34,-233.52,191.04,191.04,191.04
10200.719,1220.18,489.55,397.09,-196.01,-365.34,-233.52,191.04,191.04,191.04
10200.75,1235.79,505.68,383.38,-197.31,-368.13,-224.73,191.04,191.04,191.04
10200.844,1230.52,466.53,374.58,-184.72,-357.06,-217.91,184.27,184.27,184.27
10200.89,1230.52,466.53,374.58,-184.72,-357.06,-217.91,184.27,184.27,184.27
10200.922,1273.62,472.89,376.02,-217.45,-363.74,-214.14,184.27,184.27,184.27
10200.984,1273.62,472.89,376.02,-217.45,-363.74,-214.14,184.27,184.27,184.27
10201.031,1186.26,522.99,367.04,-191.97,-378.88,-218.11,184.27,184.27,184.27
10201.078,1225.64,491.35,372.22,-199.37,-362.05,-215.17,175.46,175.46,175.46
10201.109,1225.64,491.35,372.22,-199.37,-362.05,-215.17,175.46,175.46,175.46
10201.141,1225.64,491.35,372.22,-199.37,-362.05,-215.17,175.46,175.46,175.46
10201.183,1192.20,490.97,370.72,-175.13,-355.57,-219.45,175.46,175.46,175.46
10201.214,1192.20,490.97,370.72,-175.13,-355.57,-219.45,175.46,175.46,175.46
10201.261,1219.61,449.23,375.83,-174.93,-344.64,-220.72,175.46,175.46,175.46
10201.293,1219.61,449.23,375.83,-174.93,-344.64,-220.72,175.46,175.46,175.46
10201.355,1250.44,463.34,375.35,-195.44,-353.77,-218.35,156.25,156.25,156.25
10201.402,1250.44,463.34,375.35,-195.44,-353.77,-218.35,156.25,156.25,156.25
10201.449,1220.64,465.41,374.45,-189.99,-353.06,-218.33,156.25,156.25,156.25
10201.48,1227.62,487.03,376.90,-196.82,-363.27,-218.87,156.25,156.25,156.25
10201.511,1227.62,487.03,376.90,-196.82,-363.27,-218.87,156.25,156.25,156.25
10201.558,1227.62,487.03,376.90,-196.82,-363.27,-218.87,156.25,156.25,156.25
10201.589,1220.56,503.74,374.36,-199.67,-374.53,-219.47,170.41,170.41,170.41
10201.636,1220.56,503.74,374.36,-199.67,-374.53,-219.47,170.41,170.41,170.41
10201.668,1242.66,529.57,373.33,-217.48,-389.86,-216.95,170.41,170.41,170.41
10201.715,1242.66,529.57,373.33,-217.48,-389.86,-216.95,170.41,170.41,170.41
10201.746,1217.22,492.74,378.02,-197.37,-365.56,-217.73,170.41,170.41,170.41
10201.793,1217.22,492.74,378.02,-197.37,-365.56,-217.73,170.41,170.41,170.41
10201.824,1197.34,523.09,375.50,-193.53,-374.68,-218.07,169.46,169.46,169.46
10201.871,1197.34,523.09,375.50,-193.53,-374.68,-218.07,169.46,169.46,169.46
10201.918,1207.33,521.91,367.73,-199.56,-378.16,-216.97,169.46,169.46,169.46
10201.965,1207.33,521.91,367.73,-199.56,-378.16,-216.97,169.46,169.46,169.46
10201.996,1206.46,503.07,371.06,-193.18,-366.17,-217.05,169.46,169.46,169.46
10202.043,1206.46,503.07,371.06,-193.18,-366.17,-217.05,169.46,169.46,169.46
10202.074,1189.02,510.39,369.72,-185.55,-368.62,-219.42,177.82,177.82,177.82
10202.121,1189.02,510.39,369.72,-185.55,-368.62,-219.42,177.82,177.82,177.82
10202.151,1252.46,470.18,377.07,-210.12,-364.51,-216.97,177.82,177.82,177.82
10202.202,1252.46,470.18,377.07,-210.12,-364.51,-216.97,177.82,177.82,177.82
10202.233,1216.01,509.77,373.04,-196.66,-374.53,-218.66,177.82,177.82,177.82
