TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
13034.021,512.62,358.26,273.79,-222.24,-321.39,-210.41,125.66,125.66,125.66
13034.068,512.62,358.26,273.79,-222.24,-321.39,-210.41,125.66,125.66,125.66
13034.115,519.47,357.69,274.10,-231.14,-331.77,-209.96,125.66,125.66,125.66
13034.146,519.47,357.69,274.10,-231.14,-331.77,-209.96,125.66,125.66,125.66
13034.188,519.47,357.69,274.10,-231.14,-331.77,-209.96,125.66,125.66,125.66
13034.22,463.13,376.84,271.61,-197.00,-320.81,-212.43,116.52,116.52,116.52
13034.251,463.13,376.84,271.61,-197.00,-320.81,-212.43,116.52,116.52,116.52
13034.282,516.06,333.35,277.70,-226.19,-315.27,-211.46,116.52,116.52,116.52
13034.329,516.06,333.35,277.70,-226.19,-315.27,-211.46,116.52,116.52,116.52
13034.392,500.13,401.55,271.92,-212.28,-343.41,-211.44,116.52,116.52,116.52
13034.423,500.13,401.55,271.92,-212.28,-343.41,-211.44,116.52,116.52,116.52
13034.454,501.22,362.20,276.80,-216.03,-323.35,-210.52,99.95,99.95,99.95
13034.501,501.22,362.20,276.80,-216.03,-323.35,-210.52,99.95,99.95,99.95
13034.532,534.21,354.99,278.87,-219.92,-327.76,-210.76,99.95,99.95,99.95
13034.579,534.21,354.99,278.87,-219.92,-327.76,-210.76,99.95,99.95,99.95
13034.61,506.51,352.01,272.79,-215.71,-316.10,-210.15,99.95,99.95,99.95
13034.657,506.51,352.01,272.79,-215.71,-316.10,-210.15,99.95,99.95,99.95
13034.688,503.22,361.73,273.68,-218.07,-325.70,-210.14,116.65,116.65,116.65
13034.735,503.22,361.73,273.68,-218.07,-325.70,-210.14,116.65,116.65,116.65
13034.782,537.59,330.07,276.55,-226.02,-311.32,-210.08,116.65,116.65,116.65
13034.813,537.59,330.07,276.55,-226.02,-311.32,-210.08,116.65,116.65,116.65
13034.876,483.72,369.56,276.14,-208.82,-322.12,-213.35,116.65,116.65,116.65
13034.907,483.72,369.56,276.14,-208.82,-322.12,-213.35,116.65,116.65,116.65
13034.938,483.72,369.56,276.14,-208.82,-322.12,-213.35,116.65,116.65,116.65
13034.97,476.75,371.60,269.03,-212.08,-323.73,-210.63,121.73,121.73,121.73
13035.017,476.75,371.60,269.03,-212.08,-323.73,-210.63,121.73,121.73,121.73
13035.048,469.95,349.70,281.37,-198.63,-312.28,-211.12,121.73,121.73,121.73
13035.095,469.95,349.70,281.37,-198.63,-312.28,-211.12,121.73,121.73,121.73
13035.142,508.50,364.03,293.78,-225.57,-328.08,-213.28,121.73,121.73,121.73
13035.173,508.50,364.03,293.78,-225.57,-328.08,-213.28,121.73,121.73,121.73
13035.204,493.12,361.49,284.53,-213.65,-315.32,-209.18,170.52,170.52,170.52
13035.251,493.12,361.49,284.53,-213.65,-315.32,-209.18,170.52,170.52,170.52
13035.298,503.46,351.20,277.93,-214.78,-313.95,-208.39,170.52,170.52,170.52
13035.329,503.46,351.20,277.93,-214.78,-313.95,-208.39,170.52,170.52,170.52
13035.36,503.46,351.20,277.93,-214.78,-313.95,-208.39,170.52,170.52,170.52
13035.423,524.45,377.65,285.55,-224.71,-333.99,-209.25,170.52,170.52,170.52
13035.454,497.69,342.39,287.82,-205.91,-302.60,-212.12,127.00,127.00,127.00
13035.501,497.69,342.39,287.82,-205.91,-302.60,-212.12,127.00,127.00,127.00
13035.548,494.75,361.29,442.79,-210.55,-317.68,-252.51,127.00,127.00,127.00
13035.579,494.75,361.29,442.79,-210.55,-317.68,-252.51,127.00,127.00,127.00
13035.61,494.75,361.29,442.79,-210.55,-317.68,-252.51,127.00,127.00,127.00
13035.649,511.51,363.50,580.97,-220.60,-324.95,-229.89,127.00,127.00,127.00
13035.69,511.51,363.50,580.97,-220.60,-324.95,-229.89,127.00,127.00,127.00
13035.736,467.74,394.40,555.14,-194.91,-329.51,-227.27,107.83,107.83,107.83
13035.768,467.74,394.40,555.14,-194.91,-329.51,-227.27,107.83,107.83,107.83
13035.815,494.44,363.65,545.43,-216.05,-323.33,-218.58,107.83,107.83,107.83
13035.846,494.44,363.65,545.43,-216.05,-323.33,-218.58,107.83,107.83,107.83
13035.893,473.49,349.96,550.20,-201.91,-302.63,-219.23,107.83,107.83,107.83
13035.94,473.49,349.96,550.20,-201.91,-302.63,-219.23,107.83,107.83,107.83
13035.986,473.95,353.87,559.27,-212.45,-316.26,-220.62,102.46,102.46,102.46
13036.033,473.95,353.87,559.27,-212.45,-316.26,-220.62,102.46,102.46,102.46
13036.08,458.25,380.31,535.23,-191.43,-311.23,-218.56,102.46,102.46,102.46
