TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
10837.98,436.16,512.58,278.26,-188.27,-384.98,-219.70,114.89,114.89,114.89
10838.043,379.68,480.36,282.98,-171.01,-371.16,-223.90,114.89,114.89,114.89
10838.09,379.68,480.36,282.98,-171.01,-371.16,-223.90,114.89,114.89,114.89
10838.121,359.11,499.50,278.72,-148.82,-360.01,-223.59,75.67,75.67,75.67
10838.152,359.11,499.50,278.72,-148.82,-360.01,-223.59,75.67,75.67,75.67
10838.194,388.92,514.19,280.76,-162.04,-374.95,-224.84,75.67,75.67,75.67
10838.225,388.92,514.19,280.76,-162.04,-374.95,-224.84,75.67,75.67,75.67
10838.272,388.92,514.19,280.76,-162.04,-374.95,-224.84,75.67,75.67,75.67
10838.303,448.82,494.43,284.83,-198.35,-382.96,-220.05,75.67,75.67,75.67
10838.35,448.82,494.43,284.83,-198.35,-382.96,-220.05,75.67,75.67,75.67
10838.397,379.60,483.78,281.76,-164.67,-358.89,-224.21,114.18,114.18,114.18
10838.46,387.03,481.34,279.72,-167.18,-359.48,-222.52,114.18,114.18,114.18
10838.491,387.03,481.34,279.72,-167.18,-359.48,-222.52,114.18,114.18,114.18
10838.538,366.84,515.12,277.97,-153.53,-375.61,-223.70,114.18,114.18,114.18
10838.569,366.84,515.12,277.97,-153.53,-375.61,-223.70,114.18,114.18,114.18
10838.617,386.59,491.41,279.69,-155.64,-364.73,-222.85,74.00,74.00,74.00
10838.664,386.59,491.41,279.69,-155.64,-364.73,-222.85,74.00,74.00,74.00
10838.695,415.51,491.32,279.40,-180.36,-369.96,-220.77,74.00,74.00,74.00
10838.726,415.51,491.32,279.40,-180.36,-369.96,-220.77,74.00,74.00,74.00
10838.773,415.51,491.32,279.40,-180.36,-369.96,-220.77,74.00,74.00,74.00
10838.804,396.66,498.41,278.25,-172.86,-372.15,-221.68,74.00,74.00,74.00
10838.836,396.66,498.41,278.25,-172.86,-372.15,-221.68,74.00,74.00,74.00
10838.867,393.56,487.69,280.25,-167.54,-363.31,-222.55,84.37,84.37,84.37
10838.914,393.56,487.69,280.25,-167.54,-363.31,-222.55,84.37,84.37,84.37
10838.945,413.32,502.57,282.05,-192.32,-376.11,-219.72,84.37,84.37,84.37
10838.992,413.32,502.57,282.05,-192.32,-376.11,-219.72,84.37,84.37,84.37
10839.039,421.83,519.68,280.39,-190.09,-383.49,-218.88,84.37,84.37,84.37
10839.07,421.83,519.68,280.39,-190.09,-383.49,-218.88,84.37,84.37,84.37
10839.101,421.83,519.68,280.39,-190.09,-383.49,-218.88,84.37,84.37,84.37
10839.148,406.37,486.67,283.65,-176.12,-363.33,-220.34,100.79,100.79,100.79
10839.179,406.37,486.67,283.65,-176.12,-363.33,-220.34,100.79,100.79,100.79
10839.226,418.24,521.19,280.39,-174.58,-383.85,-219.81,100.79,100.79,100.79
10839.258,418.24,521.19,280.39,-174.58,-383.85,-219.81,100.79,100.79,100.79
10839.304,758.42,502.27,278.23,360.49,-364.00,-222.62,100.79,100.79,100.79
10839.336,758.42,502.27,278.23,360.49,-364.00,-222.62,100.79,100.79,100.79
10839.383,813.47,492.89,284.47,-151.95,-369.60,-219.63,355.72,355.72,355.72
10839.414,813.47,492.89,284.47,-151.95,-369.60,-219.63,355.72,355.72,355.72
10839.476,670.93,499.60,282.69,-158.74,-364.47,-221.86,355.72,355.72,355.72
10839.523,670.93,499.60,282.69,-158.74,-364.47,-221.86,355.72,355.72,355.72
10839.554,666.95,475.34,282.38,-172.91,-360.02,-219.30,355.72,355.72,355.72
10839.601,666.95,475.34,282.38,-172.91,-360.02,-219.30,355.72,355.72,355.72
10839.633,659.46,510.33,299.71,-188.36,-374.93,-232.69,112.43,112.43,112.43
10839.695,659.46,510.33,299.71,-188.36,-374.93,-232.69,112.43,112.43,112.43
10839.726,645.58,510.68,279.20,-183.97,-377.75,-219.04,112.43,112.43,112.43
10839.773,645.58,510.68,279.20,-183.97,-377.75,-219.04,112.43,112.43,112.43
10839.804,587.05,511.89,273.06,-161.55,-379.81,-219.43,112.43,112.43,112.43
10839.851,587.05,511.89,273.06,-161.55,-379.81,-219.43,112.43,112.43,112.43
10839.898,597.18,502.34,274.02,-179.22,-376.67,-218.85,87.36,87.36,87.36
10839.929,597.18,502.34,274.02,-179.22,-376.67,-218.85,87.36,87.36,87.36
10839.961,567.40,499.94,272.49,-152.00,-363.00,-221.75,87.36,87.36,87.36
10840.023,567.40,499.94,272.49,-152.00,-363.00,-221.75,87.36,87.36,87.36
10840.054,606.40,526.61,275.30,-175.82,-384.32,-219.11,87.36,87.36,87.36
10840.101,606.40,526.61,275.30,-175.82,-384.32,-219.11,87.36,87.36,87.36
10840.133,601.00,467.65,281.53,-161.66,-351.09,-220.77,85.44,85.44,85.44
10840.164,601.00,467.65,281.53,-161.66,-351.09,-220.77,85.44,85.44,85.44
10840.206,573.17,480.49,283.65,-158.30,-359.76,-221.80,85.44,85.44,85.44
10840.237,573.17,480.49,283.65,-158.30,-359.76,-221.80,85.44,85.44,85.44
10840.269,573.17,480.49,283.65,-158.30,-359.76,-221.80,85.44,85.44,85.44
10840.315,616.45,513.91,274.06,-187.39,-388.53,-216.66,85.44,85.44,85.44
10840.347,616.45,513.91,274.06,-187.39,-388.53,-216.66,85.44,85.44,85.44
10840.378,560.80,511.81,276.26,-160.77,-380.23,-219.62,115.63,115.63,115.63
10840.425,560.80,511.81,276.26,-160.77,-380.23,-219.62,115.63,115.63,115.63
10840.472,611.18,475.19,282.21,-188.65,-364.49,-219.04,115.63,115.63,115.63
10840.519,611.18,475.19,282.21,-188.65,-364.49,-219.04,115.63,115.63,115.63
10840.565,589.70,486.20,281.24,-175.88,-367.66,-219.06,115.63,115.63,115.63
10840.612,589.70,486.20,281.24,-175.88,-367.66,-219.06,115.63,115.63,115.63
10840.675,572.12,490.85,284.50,-156.27,-360.52,-221.57,113.77,113.77,113.77
