TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
10092.922,449.41,526.44,375.61,-191.56,-382.01,-218.69,63.48,63.48,63.48
10092.969,449.41,526.44,375.61,-191.56,-382.01,-218.69,63.48,63.48,63.48
10093.001,434.84,444.26,385.54,-186.35,-346.87,-224.49,63.48,63.48,63.48
10093.032,434.84,444.26,385.54,-186.35,-346.87,-224.49,63.48,63.48,63.48
10093.11,437.13,489.41,377.26,-189.42,-368.21,-219.25,63.48,63.48,63.48
10093.157,437.13,489.41,377.26,-189.42,-368.21,-219.25,63.48,63.48,63.48
10093.199,447.53,439.43,382.43,-186.64,-348.68,-222.06,98.53,98.53,98.53
10093.246,447.53,439.43,382.43,-186.64,-348.68,-222.06,98.53,98.53,98.53
10093.277,433.38,487.79,377.04,-186.26,-372.69,-220.71,98.53,98.53,98.53
10093.324,433.38,487.79,377.04,-186.26,-372.69,-220.71,98.53,98.53,98.53
10093.355,415.16,496.78,377.81,-181.73,-364.45,-222.32,98.53,98.53,98.53
10093.402,415.16,496.78,377.81,-181.73,-364.45,-222.32,98.53,98.53,98.53
10093.433,447.00,529.97,374.83,-192.60,-380.23,-215.96,91.84,91.84,91.84
10093.465,447.00,529.97,374.83,-192.60,-380.23,-215.96,91.84,91.84,91.84
10093.511,438.05,500.50,376.33,-188.39,-372.30,-219.35,91.84,91.84,91.84
10093.558,438.05,500.50,376.33,-188.39,-372.30,-219.35,91.84,91.84,91.84
10093.605,425.68,447.56,379.02,-178.48,-343.81,-220.33,91.84,91.84,91.84
10093.652,425.68,447.56,379.02,-178.48,-343.81,-220.33,91.84,91.84,91.84
10093.699,387.52,512.33,372.26,-161.65,-367.42,-219.94,100.25,100.25,100.25
10093.73,387.52,512.33,372.26,-161.65,-367.42,-219.94,100.25,100.25,100.25
10093.761,444.51,494.86,378.38,-185.34,-371.38,-217.95,100.25,100.25,100.25
10093.808,444.51,494.86,378.38,-185.34,-371.38,-217.95,100.25,100.25,100.25
10093.855,414.57,531.59,374.14,-174.45,-377.44,-220.77,100.25,100.25,100.25
10093.902,414.57,531.59,374.14,-174.45,-377.44,-220.77,100.25,100.25,100.25
10093.933,399.04,505.20,379.31,-159.94,-364.33,-224.85,77.22,77.22,77.22
10093.965,399.04,505.20,379.31,-159.94,-364.33,-224.85,77.22,77.22,77.22
10094.011,434.02,459.75,379.80,-188.14,-349.42,-220.36,77.22,77.22,77.22
10094.043,434.02,459.75,379.80,-188.14,-349.42,-220.36,77.22,77.22,77.22
10094.079,438.03,471.75,380.23,-187.04,-358.69,-217.73,77.22,77.22,77.22
10094.142,438.03,471.75,380.23,-187.04,-358.69,-217.73,77.22,77.22,77.22
10094.173,421.11,460.74,378.02,-177.21,-346.44,-219.78,132.73,132.73,132.73
10094.22,421.11,460.74,378.02,-177.21,-346.44,-219.78,132.73,132.73,132.73
10094.251,456.20,489.15,377.20,-201.88,-367.66,-216.60,132.73,132.73,132.73
10094.298,456.20,489.15,377.20,-201.88,-367.66,-216.60,132.73,132.73,132.73
10094.329,455.53,512.05,372.41,-192.04,-377.41,-214.83,132.73,132.73,132.73
10094.376,455.53,512.05,372.41,-192.04,-377.41,-214.83,132.73,132.73,132.73
10094.423,433.55,474.42,398.46,-185.02,-364.11,-233.21,84.54,84.54,84.54
10094.454,433.55,474.42,398.46,-185.02,-364.11,-233.21,84.54,84.54,84.54
10094.486,433.55,474.42,398.46,-185.02,-364.11,-233.21,84.54,84.54,84.54
10094.548,466.03,471.57,384.21,-200.11,-361.69,-220.26,84.54,84.54,84.54
10094.611,434.77,482.36,374.75,-191.57,-363.88,-217.31,84.54,84.54,84.54
10094.673,468.97,512.39,373.16,-207.80,-382.16,-214.11,109.26,109.26,109.26
10094.704,468.97,512.39,373.16,-207.80,-382.16,-214.11,109.26,109.26,109.26
10094.736,468.97,512.39,373.16,-207.80,-382.16,-214.11,109.26,109.26,109.26
10094.767,435.21,490.19,373.55,-183.33,-370.03,-216.84,109.26,109.26,109.26
10094.814,435.21,490.19,373.55,-183.33,-370.03,-216.84,109.26,109.26,109.26
10094.845,433.04,513.73,374.09,-184.26,-374.29,-215.28,109.26,109.26,109.26
10094.876,433.04,513.73,374.09,-184.26,-374.29,-215.28,109.26,109.26,109.26
10094.923,426.84,511.47,372.76,-189.59,-376.25,-215.95,88.30,88.30,88.30
10094.954,426.84,511.47,372.76,-189.59,-376.25,-215.95,88.30,88.30,88.30
10094.986,426.84,511.47,372.76,-189.59,-376.25,-215.95,88.30,88.30,88.30
10095.033,436.69,525.30,372.10,-187.23,-377.72,-217.31,88.30,88.30,88.30
10095.064,436.69,525.30,372.10,-187.23,-377.72,-217.31,88.30,88.30,88.30
10095.111,428.73,474.40,374.08,-184.08,-360.92,-219.98,88.30,88.30,88.30
10095.142,428.73,474.40,374.08,-184.08,-360.92,-219.98,88.30,88.30,88.30
10095.2,393.78,480.49,373.67,-160.29,-355.17,-220.53,98.38,98.38,98.38
10095.247,393.78,480.49,373.67,-160.29,-355.17,-220.53,98.38,98.38,98.38
10095.278,432.31,493.84,375.66,-184.57,-368.64,-219.42,98.38,98.38,98.38
10095.325,432.31,493.84,375.66,-184.57,-368.64,-219.42,98.38,98.38,98.38
10095.356,433.92,484.29,375.70,-175.94,-361.34,-220.60,98.38,98.38,98.38
10095.403,433.92,484.29,375.70,-175.94,-361.34,-220.60,98.38,98.38,98.38
10095.434,445.73,485.42,379.22,-194.67,-369.52,-217.97,114.91,114.91,114.91
10095.484,445.73,485.42,379.22,-194.67,-369.52,-217.97,114.91,114.91,114.91
10095.515,456.61,490.21,380.10,-196.15,-367.96,-216.41,114.91,114.91,114.91
10095.562,456.61,490.21,380.10,-196.15,-367.96,-216.41,114.91,114.91,114.91
10095.609,390.66,486.96,370.75,-157.14,-351.99,-220.97,114.91,114.91,114.91
10095.64,390.66,486.96,370.75,-157.14,-351.99,-220.97,114.91,114.91,114.91
10095.687,432.65,492.39,375.22,-186.29,-367.92,-217.95,86.26,86.26,86.26
10095.734,432.65,492.39,375.22,-186.29,-367.92,-217.95,86.26,86.26,86.26
10095.781,532.39,631.73,374.90,474.80,-578.49,-218.57,86.26,86.26,86.26
10095.812,532.39,631.73,374.90,474.80,-578.49,-218.57,86.26,86.26,86.26
10095.859,1819.79,1786.37,381.03,703.21,-1073.21,-219.54,86.26,86.26,86.26
10095.906,1819.79,1786.37,381.03,703.21,-1073.21,-219.54,86.26,86.26,86.26
10095.968,1804.73,1819.44,378.48,697.12,-1093.50,-217.30,344.20,344.20,344.20
10096.015,805.69,838.71,377.23,735.00,-838.12,-217.84,344.20,344.20,344.20
10096.062,805.69,838.71,377.23,735.00,-838.12,-217.84,344.20,344.20,344.20
10096.093,446.84,465.81,376.22,-196.65,-357.91,-216.21,344.20,344.20,344.20
10096.14,446.84,465.81,376.22,-196.65,-357.91,-216.21,344.20,344.20,344.20
10096.187,733.08,827.04,369.00,700.79,-847.71,-219.95,94.90,94.90,94.90
10096.234,733.08,827.04,369.00,700.79,-847.71,-219.95,94.90,94.90,94.90
10096.265,1789.17,1833.39,369.70,669.19,-1094.17,-219.81,94.90,94.90,94.90
