TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
10129.19,420.33,496.84,379.27,-177.22,-367.80,-222.03,121.57,121.57,121.57
10129.236,433.58,496.55,382.01,-190.57,-366.70,-220.26,112.55,112.55,112.55
10129.268,433.58,496.55,382.01,-190.57,-366.70,-220.26,112.55,112.55,112.55
10129.299,446.57,494.47,375.46,-192.15,-373.38,-216.87,112.55,112.55,112.55
10129.346,446.57,494.47,375.46,-192.15,-373.38,-216.87,112.55,112.55,112.55
10129.377,436.15,483.41,377.23,-185.71,-361.90,-222.15,112.55,112.55,112.55
10129.424,436.15,483.41,377.23,-185.71,-361.90,-222.15,112.55,112.55,112.55
10129.455,418.83,498.96,374.71,-181.68,-371.56,-218.26,80.69,80.69,80.69
10129.502,418.83,498.96,374.71,-181.68,-371.56,-218.26,80.69,80.69,80.69
10129.533,439.08,498.96,375.61,-182.75,-369.64,-218.55,80.69,80.69,80.69
10129.564,439.08,498.96,375.61,-182.75,-369.64,-218.55,80.69,80.69,80.69
10129.611,439.08,498.96,375.61,-182.75,-369.64,-218.55,80.69,80.69,80.69
10129.643,494.41,514.89,381.40,-203.15,-372.57,-218.12,80.69,80.69,80.69
10129.689,494.41,514.89,381.40,-203.15,-372.57,-218.12,80.69,80.69,80.69
10129.721,480.23,523.44,378.25,-201.81,-382.32,-215.59,92.18,92.18,92.18
10129.768,480.23,523.44,378.25,-201.81,-382.32,-215.59,92.18,92.18,92.18
10129.799,465.68,473.60,380.22,-189.02,-358.99,-218.76,92.18,92.18,92.18
10129.83,465.68,473.60,380.22,-189.02,-358.99,-218.76,92.18,92.18,92.18
10129.877,431.72,524.81,375.12,-172.97,-376.33,-219.26,92.18,92.18,92.18
10129.908,431.72,524.81,375.12,-172.97,-376.33,-219.26,92.18,92.18,92.18
10129.955,456.65,495.08,379.02,-199.59,-369.70,-217.22,75.04,75.04,75.04
10129.986,456.65,495.08,379.02,-199.59,-369.70,-217.22,75.04,75.04,75.04
10130.033,456.65,495.08,379.02,-199.59,-369.70,-217.22,75.04,75.04,75.04
10130.064,428.26,489.21,374.07,-177.21,-364.52,-216.61,75.04,75.04,75.04
10130.111,428.26,489.21,374.07,-177.21,-364.52,-216.61,75.04,75.04,75.04
10130.142,441.98,487.86,397.79,-193.72,-361.07,-229.81,75.04,75.04,75.04
10130.189,441.98,487.86,397.79,-193.72,-361.07,-229.81,75.04,75.04,75.04
10130.221,425.45,489.33,379.35,-178.81,-364.20,-221.70,95.44,95.44,95.44
10130.252,425.45,489.33,379.35,-178.81,-364.20,-221.70,95.44,95.44,95.44
10130.314,442.70,529.94,371.07,-189.60,-386.97,-216.46,95.44,95.44,95.44
10130.346,442.70,529.94,371.07,-189.60,-386.97,-216.46,95.44,95.44,95.44
10130.408,438.85,482.30,373.63,-186.33,-364.14,-218.02,95.44,95.44,95.44
10130.439,438.85,482.30,373.63,-186.33,-364.14,-218.02,95.44,95.44,95.44
10130.486,438.37,512.72,373.25,-182.79,-378.16,-220.09,112.80,112.80,112.80
10130.518,438.37,512.72,373.25,-182.79,-378.16,-220.09,112.80,112.80,112.80
10130.58,452.55,510.19,369.73,-193.79,-380.16,-217.65,112.80,112.80,112.80
