set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "S.VARL2" w linespoints, "-" u 1:6 t "S.VARL3" w linespoints, "-" u 1:7 t "S.VARL1" w linespoints, "-" u 1:8 t "T.x" w linespoints
7026.26,312.91,485.48,359.37,-348.08,-233.25,-166.37,0
7026.307,312.44,474.15,386.15,-344.38,-231.69,-182.88,0
7026.354,312.44,474.15,386.15,-344.38,-231.69,-182.88,0
7026.416,309.77,521.26,391.03,-365.54,-229.23,-184.00,0
7026.463,309.77,521.26,391.03,-365.54,-229.23,-184.00,0
7026.494,313.69,468.18,397.97,-338.62,-232.02,-184.53,0
7026.526,313.69,468.18,397.97,-338.62,-232.02,-184.53,0
7026.572,311.95,518.06,392.37,-357.16,-232.22,-167.11,0
7026.604,311.95,518.06,392.37,-357.16,-232.22,-167.11,0
7026.651,309.65,525.00,347.95,-349.61,-237.13,-145.75,0
7026.682,309.65,525.00,347.95,-349.61,-237.13,-145.75,0
7026.729,310.12,532.29,347.80,-359.69,-233.93,-150.04,0
7026.776,310.12,532.29,347.80,-359.69,-233.93,-150.04,0
7026.807,312.41,513.95,386.63,-358.96,-231.56,-176.59,0
7026.854,312.41,513.95,386.63,-358.96,-231.56,-176.59,0
7026.885,317.40,464.33,370.60,-332.71,-234.64,-167.42,0
7026.947,317.40,464.33,370.60,-332.71,-234.64,-167.42,0
7026.994,316.25,476.34,377.37,-341.39,-233.96,-170.04,0
7027.024,316.25,476.34,377.37,-341.39,-233.96,-170.04,0
7027.087,311.73,492.19,382.59,-351.38,-232.27,-171.79,0
7027.133,311.73,492.19,382.59,-351.38,-232.27,-171.79,0
7027.176,309.49,539.54,368.99,-369.21,-231.74,-170.54,0
7027.223,320.76,452.21,381.89,-332.77,-235.10,-171.81,0
7027.285,320.76,452.21,381.89,-332.77,-235.10,-171.81,0
7027.332,312.23,487.78,371.37,-341.24,-231.26,-165.82,0
7027.363,312.23,487.78,371.37,-341.24,-231.26,-165.82,0
7027.394,309.51,492.81,350.95,-337.98,-232.23,-146.27,0
7027.441,309.51,492.81,350.95,-337.98,-232.23,-146.27,0
7027.473,314.80,485.04,369.34,-342.89,-233.65,-166.88,0
7027.535,314.80,485.04,369.34,-342.89,-233.65,-166.88,0
7027.582,313.99,538.87,372.09,-369.20,-230.85,-168.68,0
7027.614,313.99,538.87,372.09,-369.20,-230.85,-168.68,0
7027.645,321.18,500.82,378.31,-356.04,-233.14,-171.66,0
