TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
7956.504,440.51,415.68,305.70,-189.59,-313.49,-235.71,95.72,95.72,95.72
7956.535,440.51,415.68,305.70,-189.59,-313.49,-235.71,95.72,95.72,95.72
7956.582,423.17,407.87,303.43,-186.64,-308.75,-235.47,95.72,95.72,95.72
7956.613,423.17,407.87,303.43,-186.64,-308.75,-235.47,95.72,95.72,95.72
7956.66,443.78,479.24,298.47,-207.80,-337.27,-229.30,95.72,95.72,95.72
7956.707,443.78,479.24,298.47,-207.80,-337.27,-229.30,95.72,95.72,95.72
7956.738,385.40,500.11,296.32,-162.91,-347.29,-233.15,100.10,100.10,100.10
7956.785,385.40,500.11,296.32,-162.91,-347.29,-233.15,100.10,100.10,100.10
7956.832,431.00,420.93,300.71,-182.82,-309.29,-235.09,100.10,100.10,100.10
7956.879,431.00,420.93,300.71,-182.82,-309.29,-235.09,100.10,100.10,100.10
7956.91,416.04,475.14,297.01,-180.75,-337.08,-232.74,100.10,100.10,100.10
7956.973,416.04,475.14,297.01,-180.75,-337.08,-232.74,100.10,100.10,100.10
7957.02,434.23,437.73,304.27,-201.46,-326.56,-231.07,96.35,96.35,96.35
7957.051,434.23,437.73,304.27,-201.46,-326.56,-231.07,96.35,96.35,96.35
7957.082,409.62,477.08,299.77,-174.30,-336.75,-231.54,96.35,96.35,96.35
7957.129,409.62,477.08,299.77,-174.30,-336.75,-231.54,96.35,96.35,96.35
7957.16,389.45,467.43,301.00,-173.07,-331.07,-234.13,96.35,96.35,96.35
7957.202,389.45,467.43,301.00,-173.07,-331.07,-234.13,96.35,96.35,96.35
7957.234,436.93,483.65,298.59,-199.09,-350.44,-230.68,70.21,70.21,70.21
7957.28,436.93,483.65,298.59,-199.09,-350.44,-230.68,70.21,70.21,70.21
7957.312,416.10,501.25,298.43,-183.73,-354.43,-232.61,70.21,70.21,70.21
7957.374,416.10,501.25,298.43,-183.73,-354.43,-232.61,70.21,70.21,70.21
7957.437,393.70,447.04,298.71,-159.44,-322.37,-234.59,70.21,70.21,70.21
7957.468,393.70,447.04,298.71,-159.44,-322.37,-234.59,70.21,70.21,70.21
7957.515,371.00,466.28,296.73,-152.43,-324.52,-234.79,69.81,69.81,69.81
7957.546,371.00,466.28,296.73,-152.43,-324.52,-234.79,69.81,69.81,69.81
7957.577,385.90,426.67,301.72,-161.27,-304.07,-234.73,69.81,69.81,69.81
7957.624,385.90,426.67,301.72,-161.27,-304.07,-234.73,69.81,69.81,69.81
7957.655,411.89,442.65,300.69,-179.41,-315.10,-233.52,69.81,69.81,69.81
7957.702,411.89,442.65,300.69,-179.41,-315.10,-233.52,69.81,69.81,69.81
7957.734,411.11,426.13,301.51,-184.22,-310.40,-233.67,125.85,125.85,125.85
7957.78,411.11,426.13,301.51,-184.22,-310.40,-233.67,125.85,125.85,125.85
7957.812,414.13,432.26,299.84,-181.52,-323.91,-233.34,125.85,125.85,125.85
7957.859,414.13,432.26,299.84,-181.52,-323.91,-233.34,125.85,125.85,125.85
