TIME,WL1,WL2,WL3,W,VARL1,VARL2,VARL3
26.131,440.28,594.96,250.10,1285.34,-207.37,-434.22,-160.33
26.168,440.28,594.96,250.10,1285.34,-207.37,-434.22,-160.33
26.215,397.13,597.46,248.00,1242.59,-188.88,-420.71,-162.50
26.253,397.13,597.46,248.00,1242.59,-188.88,-420.71,-162.50
26.284,444.63,592.88,234.49,1272.00,-209.92,-430.36,-157.18
26.331,444.63,592.88,234.49,1272.00,-209.92,-430.36,-157.18
26.368,443.36,587.01,255.20,1285.56,-203.79,-425.00,-159.71
26.415,443.36,587.01,255.20,1285.56,-203.79,-425.00,-159.71
26.453,481.21,581.61,238.37,1301.18,-225.11,-434.99,-153.77
26.484,481.21,581.61,238.37,1301.18,-225.11,-434.99,-153.77
26.533,429.37,593.76,251.02,1274.15,-200.12,-433.45,-157.69
26.568,429.37,593.76,251.02,1274.15,-200.12,-433.45,-157.69
26.599,429.37,593.76,251.02,1274.15,-200.12,-433.45,-157.69
26.635,441.06,596.69,250.56,1288.30,-202.93,-432.61,-158.22
26.668,441.06,596.69,250.56,1288.30,-202.93,-432.61,-158.22
26.715,452.73,584.61,234.23,1271.58,-203.17,-428.72,-155.06
26.753,452.73,584.61,234.23,1271.58,-203.17,-428.72,-155.06
26.800,424.07,601.64,247.41,1273.12,-201.14,-429.17,-156.80
26.831,424.07,601.64,247.41,1273.12,-201.14,-429.17,-156.80
26.868,424.07,601.64,247.41,1273.12,-201.14,-429.17,-156.80
26.931,422.91,596.64,241.40,1260.95,-204.11,-430.65,-157.50
26.968,432.35,575.02,236.13,1243.50,-204.13,-421.84,-156.83
26.999,432.35,575.02,236.13,1243.50,-204.13,-421.84,-156.83
27.053,479.17,576.97,255.66,1311.81,-225.10,-433.13,-155.77
27.084,479.17,576.97,255.66,1311.81,-225.10,-433.13,-155.77
27.131,451.22,613.35,231.73,1296.30,-217.49,-442.46,-155.75
27.169,451.22,613.35,231.73,1296.30,-217.49,-442.46,-155.75
27.200,444.99,592.71,245.51,1283.21,-210.68,-429.66,-156.56
27.231,444.99,592.71,245.51,1283.21,-210.68,-429.66,-156.56
27.284,444.99,592.71,245.51,1283.21,-210.68,-429.66,-156.56
27.331,431.23,579.56,249.99,1260.78,-205.38,-426.89,-157.96
27.368,431.23,579.56,249.99,1260.78,-205.38,-426.89,-157.96
27.400,444.60,591.16,233.39,1269.16,-209.24,-430.38,-155.65
27.435,444.60,591.16,233.39,1269.16,-209.24,-430.38,-155.65
27.468,454.73,625.92,251.97,1332.61,-216.30,-441.43,-156.34
27.515,454.73,625.92,251.97,1332.61,-216.30,-441.43,-156.34
