TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
8744.922,458.97,486.46,428.45,-212.49,-373.28,-228.94,112.35,112.35,112.35
8744.968,458.97,486.46,428.45,-212.49,-373.28,-228.94,112.35,112.35,112.35
8745,418.68,492.67,435.98,-183.97,-363.98,-232.55,112.35,112.35,112.35
8745.047,418.68,492.67,435.98,-183.97,-363.98,-232.55,112.35,112.35,112.35
8745.078,457.38,510.84,420.15,-208.74,-382.96,-226.16,118.28,118.28,118.28
8745.125,457.38,510.84,420.15,-208.74,-382.96,-226.16,118.28,118.28,118.28
8745.16,459.82,487.91,419.37,-217.27,-368.18,-228.46,118.28,118.28,118.28
8745.214,459.82,487.91,419.37,-217.27,-368.18,-228.46,118.28,118.28,118.28
8745.261,412.62,537.80,429.60,-184.51,-380.76,-229.70,118.28,118.28,118.28
8745.292,412.62,537.80,429.60,-184.51,-380.76,-229.70,118.28,118.28,118.28
8745.339,461.84,489.27,434.30,-220.34,-371.13,-226.67,95.42,95.42,95.42
8745.37,461.84,489.27,434.30,-220.34,-371.13,-226.67,95.42,95.42,95.42
8745.417,461.84,489.27,434.30,-220.34,-371.13,-226.67,95.42,95.42,95.42
8745.464,468.09,483.93,427.63,-210.01,-367.09,-226.37,95.42,95.42,95.42
8745.495,427.63,486.47,429.18,-200.42,-362.47,-228.55,95.42,95.42,95.42
8745.542,427.63,486.47,429.18,-200.42,-362.47,-228.55,95.42,95.42,95.42
8745.589,495.89,473.02,420.28,-226.39,-366.66,-223.30,124.96,124.96,124.96
8745.636,495.89,473.02,420.28,-226.39,-366.66,-223.30,124.96,124.96,124.96
8745.667,443.67,531.85,420.57,-206.86,-386.62,-229.85,124.96,124.96,124.96
8745.698,443.67,531.85,420.57,-206.86,-386.62,-229.85,124.96,124.96,124.96
8745.745,443.67,531.85,420.57,-206.86,-386.62,-229.85,124.96,124.96,124.96
8745.776,452.02,541.31,424.27,-205.52,-391.75,-227.55,124.96,124.96,124.96
8745.823,452.02,541.31,424.27,-205.52,-391.75,-227.55,124.96,124.96,124.96
8745.87,424.87,481.73,431.26,-187.59,-357.21,-232.72,101.50,101.50,101.50
8745.901,424.87,481.73,431.26,-187.59,-357.21,-232.72,101.50,101.50,101.50
8745.948,450.81,456.44,436.17,-198.31,-353.87,-232.76,101.50,101.50,101.50
8745.995,450.81,456.44,436.17,-198.31,-353.87,-232.76,101.50,101.50,101.50
8746.042,458.92,454.15,426.82,-212.13,-356.97,-228.26,101.50,101.50,101.50
8746.089,441.98,491.44,417.28,-204.67,-373.05,-226.15,110.21,110.21,110.21
8746.12,441.98,491.44,417.28,-204.67,-373.05,-226.15,110.21,110.21,110.21
8746.151,441.98,491.44,417.28,-204.67,-373.05,-226.15,110.21,110.21,110.21
8746.198,395.70,501.49,409.50,-177.59,-366.06,-230.79,110.21,110.21,110.21
8746.229,395.70,501.49,409.50,-177.59,-366.06,-230.79,110.21,110.21,110.21
8746.276,486.88,486.66,414.86,-223.15,-366.94,-223.04,110.21,110.21,110.21
8746.307,486.88,486.66,414.86,-223.15,-366.94,-223.04,110.21,110.21,110.21
8746.354,424.79,490.35,409.95,-189.74,-363.16,-226.63,133.58,133.58,133.58
8746.386,424.79,490.35,409.95,-189.74,-363.16,-226.63,133.58,133.58,133.58
8746.432,445.24,502.25,411.84,-200.43,-372.34,-226.90,133.58,133.58,133.58
8746.479,445.24,502.25,411.84,-200.43,-372.34,-226.90,133.58,133.58,133.58
8746.542,476.89,483.90,433.07,-219.70,-369.80,-225.33,133.58,133.58,133.58
8746.573,476.89,483.90,433.07,-219.70,-369.80,-225.33,133.58,133.58,133.58
8746.62,453.34,499.43,450.10,-203.92,-375.73,-227.04,119.05,119.05,119.05
8746.651,453.34,499.43,450.10,-203.92,-375.73,-227.04,119.05,119.05,119.05
8746.698,448.17,492.47,445.78,-205.67,-365.09,-228.12,119.05,119.05,119.05
8746.729,448.17,492.47,445.78,-205.67,-365.09,-228.12,119.05,119.05,119.05
8746.776,481.44,485.12,447.58,-216.59,-374.09,-226.08,119.05,119.05,119.05
8746.807,481.44,485.12,447.58,-216.59,-374.09,-226.08,119.05,119.05,119.05
