set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "T.x" w linespoints
9025.563,407.42,476.15,333.46,0
9025.626,407.42,476.15,333.46,0
9025.657,404.89,520.42,364.65,0
9025.704,404.89,520.42,364.65,0
9025.735,407.50,476.64,369.33,0
9025.782,407.50,476.64,369.33,0
9025.829,401.84,461.58,372.49,0
9025.86,401.84,461.58,372.49,0
9025.894,399.37,514.02,374.22,0
9025.94,399.37,514.02,374.22,0
9025.987,401.73,490.79,352.01,0
9026.018,401.73,490.79,352.01,0
9026.049,401.73,490.79,352.01,0
9026.096,395.70,520.41,335.98,0
9026.127,395.70,520.41,335.98,0
9026.163,404.74,464.68,366.23,0
9026.201,404.74,464.68,366.23,0
9026.232,401.59,512.99,365.32,0
9026.279,401.59,512.99,365.32,0
9026.326,397.08,514.46,357.66,0
9026.357,397.08,514.46,357.66,0
9026.404,398.52,499.57,388.23,0
9026.435,398.52,499.57,388.23,0
9026.466,398.52,499.57,388.23,0
9026.513,406.36,476.21,375.46,0
9026.544,406.36,476.21,375.46,0
9026.576,402.61,503.96,369.86,0
9026.638,402.61,503.96,369.86,0
9026.669,400.82,502.38,378.44,0
9026.716,400.82,502.38,378.44,0
9026.763,400.99,496.95,401.23,0
9026.794,400.99,496.95,401.23,0
9026.826,402.56,478.37,354.56,0
9026.873,402.56,478.37,354.56,0
9026.919,404.21,481.30,348.88,0
9026.981,407.77,485.40,356.22,0
9027.028,407.77,485.40,356.22,0
9027.059,414.43,482.98,380.20,0
9027.09,414.43,482.98,380.20,0
9027.137,414.43,482.98,380.20,0
9027.184,400.69,503.41,319.99,0
9027.215,400.69,503.41,319.99,0
9027.247,407.42,449.70,328.29,0
9027.294,407.42,449.70,328.29,0
9027.325,404.45,444.84,382.99,0
9027.372,404.45,444.84,382.99,0
9027.403,399.69,461.37,337.24,0
9027.45,399.69,461.37,337.24,0
9027.481,400.00,482.51,1238.32,918.32996
9027.528,400.00,482.51,1238.32,0
9027.575,402.15,483.99,869.59,0
9027.606,402.15,483.99,869.59,0
9027.653,400.14,489.59,736.23,0
9027.684,400.14,489.59,736.23,0
9027.715,400.14,489.59,736.23,0
9027.762,399.20,488.19,672.00,0
9027.794,399.20,488.19,672.00,0
9027.84,399.45,485.52,681.75,0
9027.872,399.45,485.52,681.75,0
9027.903,398.46,467.64,637.62,0
9027.934,398.46,467.64,637.62,0
9027.997,402.38,474.83,613.17,0
9028.044,402.38,474.83,613.17,0
9028.09,406.78,454.20,664.66,0
9028.153,398.85,480.57,607.65,0
9028.188,398.85,480.57,607.65,0
9028.235,405.08,478.82,622.44,0
9028.328,404.92,489.57,617.46,0
9028.36,404.92,489.57,617.46,0
9028.407,404.92,489.57,617.46,0
9028.453,404.33,476.78,609.64,0
9028.532,401.02,497.97,589.85,0
9028.563,401.02,497.97,589.85,0
9028.61,405.90,482.17,586.67,0
9028.641,405.90,482.17,586.67,0
9028.688,399.98,497.01,614.85,0
9028.719,399.98,497.01,614.85,0
9028.766,402.55,479.08,594.64,0
9028.797,402.55,479.08,594.64,0
9028.844,403.35,489.70,637.41,0
9028.891,403.35,489.70,637.41,0
9028.922,397.60,494.37,566.26,0
9028.969,397.60,494.37,566.26,0
9029.0,398.89,477.27,625.45,0
9029.063,398.89,477.27,625.45,0
9029.125,405.07,474.03,604.07,0
9029.157,406.67,472.66,596.53,0
9029.199,406.67,472.66,596.53,0
9029.246,406.67,472.66,596.53,0
9029.293,405.13,473.59,576.75,0
9029.324,402.10,504.99,627.57,0
9029.371,402.10,504.99,627.57,0
9029.418,403.20,468.22,630.49,0
9029.449,403.20,468.22,630.49,0
9029.496,403.20,468.22,630.49,0
9029.542,398.18,488.53,606.40,0
9029.605,398.21,518.12,604.94,0
9029.636,398.21,518.12,604.94,0
9029.683,393.85,533.60,605.00,0
9029.714,393.85,533.60,605.00,0
9029.761,393.56,522.98,568.38,0

e
9025.563,407.42,476.15,333.46,0
9025.626,407.42,476.15,333.46,0
9025.657,404.89,520.42,364.65,0
9025.704,404.89,520.42,364.65,0
9025.735,407.50,476.64,369.33,0
9025.782,407.50,476.64,369.33,0
9025.829,401.84,461.58,372.49,0
9025.86,401.84,461.58,372.49,0
9025.894,399.37,514.02,374.22,0
9025.94,399.37,514.02,374.22,0
9025.987,401.73,490.79,352.01,0
9026.018,401.73,490.79,352.01,0
9026.049,401.73,490.79,352.01,0
9026.096,395.70,520.41,335.98,0
9026.127,395.70,520.41,335.98,0
9026.163,404.74,464.68,366.23,0
9026.201,404.74,464.68,366.23,0
9026.232,401.59,512.99,365.32,0
9026.279,401.59,512.99,365.32,0
9026.326,397.08,514.46,357.66,0
9026.357,397.08,514.46,357.66,0
9026.404,398.52,499.57,388.23,0
9026.435,398.52,499.57,388.23,0
9026.466,398.52,499.57,388.23,0
9026.513,406.36,476.21,375.46,0
9026.544,406.36,476.21,375.46,0
9026.576,402.61,503.96,369.86,0
9026.638,402.61,503.96,369.86,0
9026.669,400.82,502.38,378.44,0
9026.716,400.82,502.38,378.44,0
9026.763,400.99,496.95,401.23,0
9026.794,400.99,496.95,401.23,0
9026.826,402.56,478.37,354.56,0
9026.873,402.56,478.37,354.56,0
9026.919,404.21,481.30,348.88,0
9026.981,407.77,485.40,356.22,0
9027.028,407.77,485.40,356.22,0
9027.059,414.43,482.98,380.20,0
9027.09,414.43,482.98,380.20,0
9027.137,414.43,482.98,380.20,0
9027.184,400.69,503.41,319.99,0
9027.215,400.69,503.41,319.99,0
9027.247,407.42,449.70,328.29,0
9027.294,407.42,449.70,328.29,0
9027.325,404.45,444.84,382.99,0
9027.372,404.45,444.84,382.99,0
9027.403,399.69,461.37,337.24,0
9027.45,399.69,461.37,337.24,0
9027.481,400.00,482.51,1238.32,918.32996
9027.528,400.00,482.51,1238.32,0
9027.575,402.15,483.99,869.59,0
9027.606,402.15,483.99,869.59,0
9027.653,400.14,489.59,736.23,0
9027.684,400.14,489.59,736.23,0
9027.715,400.14,489.59,736.23,0
9027.762,399.20,488.19,672.00,0
9027.794,399.20,488.19,672.00,0
9027.84,399.45,485.52,681.75,0
9027.872,399.45,485.52,681.75,0
9027.903,398.46,467.64,637.62,0
9027.934,398.46,467.64,637.62,0
9027.997,402.38,474.83,613.17,0
9028.044,402.38,474.83,613.17,0
9028.09,406.78,454.20,664.66,0
9028.153,398.85,480.57,607.65,0
9028.188,398.85,480.57,607.65,0
9028.235,405.08,478.82,622.44,0
9028.328,404.92,489.57,617.46,0
9028.36,404.92,489.57,617.46,0
9028.407,404.92,489.57,617.46,0
9028.453,404.33,476.78,609.64,0
9028.532,401.02,497.97,589.85,0
9028.563,401.02,497.97,589.85,0
9028.61,405.90,482.17,586.67,0
9028.641,405.90,482.17,586.67,0
9028.688,399.98,497.01,614.85,0
9028.719,399.98,497.01,614.85,0
9028.766,402.55,479.08,594.64,0
9028.797,402.55,479.08,594.64,0
9028.844,403.35,489.70,637.41,0
9028.891,403.35,489.70,637.41,0
9028.922,397.60,494.37,566.26,0
9028.969,397.60,494.37,566.26,0
9029.0,398.89,477.27,625.45,0
9029.063,398.89,477.27,625.45,0
9029.125,405.07,474.03,604.07,0
9029.157,406.67,472.66,596.53,0
9029.199,406.67,472.66,596.53,0
9029.246,406.67,472.66,596.53,0
9029.293,405.13,473.59,576.75,0
9029.324,402.10,504.99,627.57,0
9029.371,402.10,504.99,627.57,0
9029.418,403.20,468.22,630.49,0
9029.449,403.20,468.22,630.49,0
9029.496,403.20,468.22,630.49,0
9029.542,398.18,488.53,606.40,0
9029.605,398.21,518.12,604.94,0
9029.636,398.21,518.12,604.94,0
9029.683,393.85,533.60,605.00,0
9029.714,393.85,533.60,605.00,0
9029.761,393.56,522.98,568.38,0

e
9025.563,407.42,476.15,333.46,0
9025.626,407.42,476.15,333.46,0
9025.657,404.89,520.42,364.65,0
9025.704,404.89,520.42,364.65,0
9025.735,407.50,476.64,369.33,0
9025.782,407.50,476.64,369.33,0
9025.829,401.84,461.58,372.49,0
9025.86,401.84,461.58,372.49,0
9025.894,399.37,514.02,374.22,0
9025.94,399.37,514.02,374.22,0
9025.987,401.73,490.79,352.01,0
9026.018,401.73,490.79,352.01,0
9026.049,401.73,490.79,352.01,0
9026.096,395.70,520.41,335.98,0
9026.127,395.70,520.41,335.98,0
9026.163,404.74,464.68,366.23,0
9026.201,404.74,464.68,366.23,0
9026.232,401.59,512.99,365.32,0
9026.279,401.59,512.99,365.32,0
9026.326,397.08,514.46,357.66,0
9026.357,397.08,514.46,357.66,0
9026.404,398.52,499.57,388.23,0
9026.435,398.52,499.57,388.23,0
9026.466,398.52,499.57,388.23,0
9026.513,406.36,476.21,375.46,0
9026.544,406.36,476.21,375.46,0
9026.576,402.61,503.96,369.86,0
9026.638,402.61,503.96,369.86,0
9026.669,400.82,502.38,378.44,0
9026.716,400.82,502.38,378.44,0
9026.763,400.99,496.95,401.23,0
9026.794,400.99,496.95,401.23,0
9026.826,402.56,478.37,354.56,0
9026.873,402.56,478.37,354.56,0
9026.919,404.21,481.30,348.88,0
9026.981,407.77,485.40,356.22,0
9027.028,407.77,485.40,356.22,0
9027.059,414.43,482.98,380.20,0
9027.09,414.43,482.98,380.20,0
9027.137,414.43,482.98,380.20,0
9027.184,400.69,503.41,319.99,0
9027.215,400.69,503.41,319.99,0
9027.247,407.42,449.70,328.29,0
9027.294,407.42,449.70,328.29,0
9027.325,404.45,444.84,382.99,0
9027.372,404.45,444.84,382.99,0
9027.403,399.69,461.37,337.24,0
9027.45,399.69,461.37,337.24,0
9027.481,400.00,482.51,1238.32,918.32996
9027.528,400.00,482.51,1238.32,0
9027.575,402.15,483.99,869.59,0
9027.606,402.15,483.99,869.59,0
9027.653,400.14,489.59,736.23,0
9027.684,400.14,489.59,736.23,0
9027.715,400.14,489.59,736.23,0
9027.762,399.20,488.19,672.00,0
9027.794,399.20,488.19,672.00,0
9027.84,399.45,485.52,681.75,0
9027.872,399.45,485.52,681.75,0
9027.903,398.46,467.64,637.62,0
9027.934,398.46,467.64,637.62,0
9027.997,402.38,474.83,613.17,0
9028.044,402.38,474.83,613.17,0
9028.09,406.78,454.20,664.66,0
9028.153,398.85,480.57,607.65,0
9028.188,398.85,480.57,607.65,0
9028.235,405.08,478.82,622.44,0
9028.328,404.92,489.57,617.46,0
9028.36,404.92,489.57,617.46,0
9028.407,404.92,489.57,617.46,0
9028.453,404.33,476.78,609.64,0
9028.532,401.02,497.97,589.85,0
9028.563,401.02,497.97,589.85,0
9028.61,405.90,482.17,586.67,0
9028.641,405.90,482.17,586.67,0
9028.688,399.98,497.01,614.85,0
9028.719,399.98,497.01,614.85,0
9028.766,402.55,479.08,594.64,0
9028.797,402.55,479.08,594.64,0
9028.844,403.35,489.70,637.41,0
9028.891,403.35,489.70,637.41,0
9028.922,397.60,494.37,566.26,0
9028.969,397.60,494.37,566.26,0
9029.0,398.89,477.27,625.45,0
9029.063,398.89,477.27,625.45,0
9029.125,405.07,474.03,604.07,0
9029.157,406.67,472.66,596.53,0
9029.199,406.67,472.66,596.53,0
9029.246,406.67,472.66,596.53,0
9029.293,405.13,473.59,576.75,0
9029.324,402.10,504.99,627.57,0
9029.371,402.10,504.99,627.57,0
9029.418,403.20,468.22,630.49,0
9029.449,403.20,468.22,630.49,0
9029.496,403.20,468.22,630.49,0
9029.542,398.18,488.53,606.40,0
9029.605,398.21,518.12,604.94,0
9029.636,398.21,518.12,604.94,0
9029.683,393.85,533.60,605.00,0
9029.714,393.85,533.60,605.00,0
9029.761,393.56,522.98,568.38,0

e
9025.563,407.42,476.15,333.46,0
9025.626,407.42,476.15,333.46,0
9025.657,404.89,520.42,364.65,0
9025.704,404.89,520.42,364.65,0
9025.735,407.50,476.64,369.33,0
9025.782,407.50,476.64,369.33,0
9025.829,401.84,461.58,372.49,0
9025.86,401.84,461.58,372.49,0
9025.894,399.37,514.02,374.22,0
9025.94,399.37,514.02,374.22,0
9025.987,401.73,490.79,352.01,0
9026.018,401.73,490.79,352.01,0
9026.049,401.73,490.79,352.01,0
9026.096,395.70,520.41,335.98,0
9026.127,395.70,520.41,335.98,0
9026.163,404.74,464.68,366.23,0
9026.201,404.74,464.68,366.23,0
9026.232,401.59,512.99,365.32,0
9026.279,401.59,512.99,365.32,0
9026.326,397.08,514.46,357.66,0
9026.357,397.08,514.46,357.66,0
9026.404,398.52,499.57,388.23,0
9026.435,398.52,499.57,388.23,0
9026.466,398.52,499.57,388.23,0
9026.513,406.36,476.21,375.46,0
9026.544,406.36,476.21,375.46,0
9026.576,402.61,503.96,369.86,0
9026.638,402.61,503.96,369.86,0
9026.669,400.82,502.38,378.44,0
9026.716,400.82,502.38,378.44,0
9026.763,400.99,496.95,401.23,0
9026.794,400.99,496.95,401.23,0
9026.826,402.56,478.37,354.56,0
9026.873,402.56,478.37,354.56,0
9026.919,404.21,481.30,348.88,0
9026.981,407.77,485.40,356.22,0
9027.028,407.77,485.40,356.22,0
9027.059,414.43,482.98,380.20,0
9027.09,414.43,482.98,380.20,0
9027.137,414.43,482.98,380.20,0
9027.184,400.69,503.41,319.99,0
9027.215,400.69,503.41,319.99,0
9027.247,407.42,449.70,328.29,0
9027.294,407.42,449.70,328.29,0
9027.325,404.45,444.84,382.99,0
9027.372,404.45,444.84,382.99,0
9027.403,399.69,461.37,337.24,0
9027.45,399.69,461.37,337.24,0
9027.481,400.00,482.51,1238.32,918.32996
9027.528,400.00,482.51,1238.32,0
9027.575,402.15,483.99,869.59,0
9027.606,402.15,483.99,869.59,0
9027.653,400.14,489.59,736.23,0
9027.684,400.14,489.59,736.23,0
9027.715,400.14,489.59,736.23,0
9027.762,399.20,488.19,672.00,0
9027.794,399.20,488.19,672.00,0
9027.84,399.45,485.52,681.75,0
9027.872,399.45,485.52,681.75,0
9027.903,398.46,467.64,637.62,0
9027.934,398.46,467.64,637.62,0
9027.997,402.38,474.83,613.17,0
9028.044,402.38,474.83,613.17,0
9028.09,406.78,454.20,664.66,0
9028.153,398.85,480.57,607.65,0
9028.188,398.85,480.57,607.65,0
9028.235,405.08,478.82,622.44,0
9028.328,404.92,489.57,617.46,0
9028.36,404.92,489.57,617.46,0
9028.407,404.92,489.57,617.46,0
9028.453,404.33,476.78,609.64,0
9028.532,401.02,497.97,589.85,0
9028.563,401.02,497.97,589.85,0
9028.61,405.90,482.17,586.67,0
9028.641,405.90,482.17,586.67,0
9028.688,399.98,497.01,614.85,0
9028.719,399.98,497.01,614.85,0
9028.766,402.55,479.08,594.64,0
9028.797,402.55,479.08,594.64,0
9028.844,403.35,489.70,637.41,0
9028.891,403.35,489.70,637.41,0
9028.922,397.60,494.37,566.26,0
9028.969,397.60,494.37,566.26,0
9029.0,398.89,477.27,625.45,0
9029.063,398.89,477.27,625.45,0
9029.125,405.07,474.03,604.07,0
9029.157,406.67,472.66,596.53,0
9029.199,406.67,472.66,596.53,0
9029.246,406.67,472.66,596.53,0
9029.293,405.13,473.59,576.75,0
9029.324,402.10,504.99,627.57,0
9029.371,402.10,504.99,627.57,0
9029.418,403.20,468.22,630.49,0
9029.449,403.20,468.22,630.49,0
9029.496,403.20,468.22,630.49,0
9029.542,398.18,488.53,606.40,0
9029.605,398.21,518.12,604.94,0
9029.636,398.21,518.12,604.94,0
9029.683,393.85,533.60,605.00,0
9029.714,393.85,533.60,605.00,0
9029.761,393.56,522.98,568.38,0

e
