TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
12074.119,415.36,464.22,272.68,-182.22,-372.52,-211.71,86.23,86.23,86.23
12074.15,415.36,464.22,272.68,-182.22,-372.52,-211.71,86.23,86.23,86.23
12074.192,397.86,492.31,269.28,-179.39,-376.80,-212.33,115.37,115.37,115.37
12074.223,397.86,492.31,269.28,-179.39,-376.80,-212.33,115.37,115.37,115.37
12074.255,397.86,492.31,269.28,-179.39,-376.80,-212.33,115.37,115.37,115.37
12074.302,397.50,463.99,271.26,-171.80,-361.11,-214.10,115.37,115.37,115.37
12074.333,397.50,463.99,271.26,-171.80,-361.11,-214.10,115.37,115.37,115.37
12074.38,414.56,512.32,269.06,-189.51,-384.98,-209.06,115.37,115.37,115.37
12074.411,414.56,512.32,269.06,-189.51,-384.98,-209.06,115.37,115.37,115.37
12074.458,393.42,479.16,265.90,-174.42,-369.87,-209.45,93.07,93.07,93.07
12074.489,393.42,479.16,265.90,-174.42,-369.87,-209.45,93.07,93.07,93.07
12074.536,395.48,480.93,268.58,-172.92,-373.72,-211.68,93.07,93.07,93.07
12074.567,395.48,480.93,268.58,-172.92,-373.72,-211.68,93.07,93.07,93.07
12074.614,431.43,468.51,267.68,-192.84,-374.90,-209.81,93.07,93.07,93.07
12074.645,431.43,468.51,267.68,-192.84,-374.90,-209.81,93.07,93.07,93.07
12074.692,428.40,510.06,264.16,-192.07,-387.44,-208.15,117.22,117.22,117.22
12074.739,428.40,510.06,264.16,-192.07,-387.44,-208.15,117.22,117.22,117.22
12074.77,408.54,428.19,271.04,-163.68,-346.97,-213.30,117.22,117.22,117.22
12074.802,408.54,428.19,271.04,-163.68,-346.97,-213.30,117.22,117.22,117.22
12074.864,390.07,495.15,267.18,-169.41,-369.99,-213.42,117.22,117.22,117.22
12074.911,390.07,495.15,267.18,-169.41,-369.99,-213.42,117.22,117.22,117.22
12074.958,402.34,467.95,266.76,-176.67,-364.86,-213.08,98.28,98.28,98.28
12075.005,402.34,467.95,266.76,-176.67,-364.86,-213.08,98.28,98.28,98.28
12075.036,402.57,479.94,266.54,-173.51,-367.50,-212.51,98.28,98.28,98.28
12075.083,402.57,479.94,266.54,-173.51,-367.50,-212.51,98.28,98.28,98.28
12075.13,391.74,508.75,263.79,-153.67,-372.96,-211.31,98.28,98.28,98.28
12075.161,391.74,508.75,263.79,-153.67,-372.96,-211.31,98.28,98.28,98.28
12075.208,423.26,475.80,266.12,-182.26,-371.35,-210.17,84.26,84.26,84.26
12075.239,423.26,475.80,266.12,-182.26,-371.35,-210.17,84.26,84.26,84.26
12075.27,423.26,475.80,266.12,-182.26,-371.35,-210.17,84.26,84.26,84.26
12075.317,403.45,475.90,266.86,-173.94,-368.30,-208.37,84.26,84.26,84.26
12075.348,403.45,475.90,266.86,-173.94,-368.30,-208.37,84.26,84.26,84.26
12075.427,396.72,496.49,266.29,-167.70,-367.91,-208.36,84.26,84.26,84.26
12075.474,374.00,458.59,270.94,-150.75,-350.56,-214.08,79.61,79.61,79.61
12075.52,374.00,458.59,270.94,-150.75,-350.56,-214.08,79.61,79.61,79.61
12075.567,434.97,494.95,271.14,-198.29,-378.31,-207.82,79.61,79.61,79.61
12075.614,387.12,502.33,265.79,-170.39,-374.45,-210.56,79.61,79.61,79.61
12075.677,387.12,502.33,265.79,-170.39,-374.45,-210.56,79.61,79.61,79.61
12075.708,393.50,452.97,288.59,-172.88,-363.18,-233.05,93.15,93.15,93.15
12075.755,393.50,452.97,288.59,-172.88,-363.18,-233.05,93.15,93.15,93.15
12075.786,412.01,480.41,270.41,-181.51,-368.34,-215.16,93.15,93.15,93.15
12075.833,412.01,480.41,270.41,-181.51,-368.34,-215.16,93.15,93.15,93.15
12075.864,449.83,473.29,267.88,-199.58,-375.10,-207.29,93.15,93.15,93.15
12075.911,449.83,473.29,267.88,-199.58,-375.10,-207.29,93.15,93.15,93.15
12075.958,429.45,421.65,270.13,-184.10,-351.72,-209.78,116.78,116.78,116.78
12076.005,429.45,421.65,270.13,-184.10,-351.72,-209.78,116.78,116.78,116.78
12076.067,411.95,496.55,264.99,-178.11,-378.03,-210.03,116.78,116.78,116.78
12076.099,411.95,496.55,264.99,-178.11,-378.03,-210.03,116.78,116.78,116.78
12076.145,412.13,494.62,265.88,-178.46,-382.09,-207.84,116.78,116.78,116.78
12076.187,412.13,494.62,265.88,-178.46,-382.09,-207.84,116.78,116.78,116.78
12076.234,398.87,442.71,271.04,-167.61,-350.81,-210.89,81.55,81.55,81.55
12076.281,398.87,442.71,271.04,-167.61,-350.81,-210.89,81.55,81.55,81.55
12076.328,432.86,470.50,267.08,-192.42,-368.88,-207.46,81.55,81.55,81.55
12076.375,424.23,454.92,268.97,-183.42,-364.82,-209.35,81.55,81.55,81.55
12076.437,424.23,454.92,268.97,-183.42,-364.82,-209.35,81.55,81.55,81.55
12076.5,372.21,495.27,264.07,-156.07,-363.94,-210.54,127.51,127.51,127.51
12076.531,435.68,447.02,272.20,-198.71,-366.30,-208.47,127.51,127.51,127.51
12076.578,435.68,447.02,272.20,-198.71,-366.30,-208.47,127.51,127.51,127.51
12076.625,410.33,1732.74,269.56,-172.24,-537.01,-210.06,127.51,127.51,127.51
12076.656,410.33,1732.74,269.56,-172.24,-537.01,-210.06,127.51,127.51,127.51
12076.719,433.01,1907.41,267.82,-201.10,-428.00,-206.78,108.49,108.49,108.49
12076.766,433.01,1907.41,267.82,-201.10,-428.00,-206.78,108.49,108.49,108.49
12076.812,395.98,1878.23,265.62,-168.72,-418.43,-211.35,108.49,108.49,108.49
12076.859,395.98,1878.23,265.62,-168.72,-418.43,-211.35,108.49,108.49,108.49
12076.922,382.20,1845.26,267.98,-157.35,-396.95,-214.56,108.49,108.49,108.49
12076.984,409.81,1858.60,269.18,-184.39,-404.95,-210.38,84.70,84.70,84.70
12077.031,409.81,1858.60,269.18,-184.39,-404.95,-210.38,84.70,84.70,84.70
12077.063,443.16,1867.29,272.68,-203.81,-404.00,-209.86,84.70,84.70,84.70
12077.109,443.16,1867.29,272.68,-203.81,-404.00,-209.86,84.70,84.70,84.70
12077.141,427.01,1862.19,269.21,-183.89,-412.62,-209.37,84.70,84.70,84.70
12077.172,427.01,1862.19,269.21,-183.89,-412.62,-209.37,84.70,84.70,84.70
12077.234,416.81,1826.68,274.13,-169.21,-392.52,-211.14,95.87,95.87,95.87
12077.266,416.81,1826.68,274.13,-169.21,-392.52,-211.14,95.87,95.87,95.87
12077.312,422.20,1869.50,268.84,-178.88,-412.73,-206.95,95.87,95.87,95.87
12077.344,422.20,1869.50,268.84,-178.88,-412.73,-206.95,95.87,95.87,95.87
12077.391,458.24,1855.95,276.57,-202.67,-404.05,-213.10,95.87,95.87,95.87
12077.422,458.24,1855.95,276.57,-202.67,-404.05,-213.10,95.87,95.87,95.87
12077.469,435.25,1860.47,273.25,-181.19,-410.60,-213.24,124.23,124.23,124.23
12077.5,435.25,1860.47,273.25,-181.19,-410.60,-213.24,124.23,124.23,124.23
12077.531,435.25,1860.47,273.25,-181.19,-410.60,-213.24,124.23,124.23,124.23
12077.578,385.40,1849.93,276.25,-157.33,-406.86,-214.89,124.23,124.23,124.23
12077.625,385.40,1849.93,276.25,-157.33,-406.86,-214.89,124.23,124.23,124.23
12077.672,417.43,1836.45,276.28,-180.70,-398.67,-213.11,124.23,124.23,124.23
12077.734,451.07,1897.67,273.00,-189.41,-425.30,-210.38,100.80,100.80,100.80
12077.781,451.07,1897.67,273.00,-189.41,-425.30,-210.38,100.80,100.80,100.80
12077.828,388.43,1865.86,270.75,-157.50,-417.46,-213.80,100.80,100.80,100.80
12077.875,388.43,1865.86,270.75,-157.50,-417.46,-213.80,100.80,100.80,100.80
12077.906,386.74,1823.24,272.74,-159.95,-394.54,-212.14,100.80,100.80,100.80
12077.953,386.74,1823.24,272.74,-159.95,-394.54,-212.14,100.80,100.80,100.80
12077.984,392.09,1848.42,271.67,-175.61,-408.81,-211.82,90.53,90.53,90.53
12078.031,392.09,1848.42,271.67,-175.61,-408.81,-211.82,90.53,90.53,90.53
12078.063,425.21,1879.94,271.08,-185.27,-417.03,-207.58,90.53,90.53,90.53
12078.109,425.21,1879.94,271.08,-185.27,-417.03,-207.58,90.53,90.53,90.53
12078.141,398.12,1857.63,270.12,-178.67,-412.29,-212.73,90.53,90.53,90.53
12078.183,398.12,1857.63,270.12,-178.67,-412.29,-212.73,90.53,90.53,90.53
12078.226,398.49,1839.72,272.56,-171.02,-402.13,-214.75,93.54,93.54,93.54
12078.257,398.49,1839.72,272.56,-171.02,-402.13,-214.75,93.54,93.54,93.54
12078.304,385.29,1848.46,269.32,-163.01,-406.15,-215.97,93.54,93.54,93.54
12078.351,385.29,1848.46,269.32,-163.01,-406.15,-215.97,93.54,93.54,93.54
12078.397,399.79,1835.00,269.47,-171.59,-398.63,-212.23,93.54,93.54,93.54
12078.444,399.79,1835.00,269.47,-171.59,-398.63,-212.23,93.54,93.54,93.54
12078.491,416.25,1887.60,267.35,-184.66,-421.80,-208.60,86.44,86.44,86.44
12078.538,416.25,1887.60,267.35,-184.66,-421.80,-208.60,86.44,86.44,86.44
12078.601,424.61,1868.19,274.95,-187.18,-401.56,-209.61,86.44,86.44,86.44
12078.632,407.31,1858.20,269.92,-182.30,-401.84,-209.72,86.44,86.44,86.44
12078.679,407.31,1858.20,269.92,-182.30,-401.84,-209.72,86.44,86.44,86.44
12078.726,411.30,1874.70,267.12,-181.02,-419.01,-210.31,95.76,95.76,95.76
12078.788,411.30,1874.70,267.12,-181.02,-419.01,-210.31,95.76,95.76,95.76
12078.819,361.31,1849.45,266.73,-151.00,-406.79,-213.21,95.76,95.76,95.76
12078.866,361.31,1849.45,266.73,-151.00,-406.79,-213.21,95.76,95.76,95.76
12078.897,457.57,1883.54,269.05,-203.91,-409.13,-205.96,95.76,95.76,95.76
12078.96,457.57,1883.54,269.05,-203.91,-409.13,-205.96,95.76,95.76,95.76
12078.991,437.00,1859.99,269.70,-185.22,-408.41,-209.70,131.22,131.22,131.22
12079.038,437.00,1859.99,269.70,-185.22,-408.41,-209.70,131.22,131.22,131.22
12079.085,412.07,1856.92,268.63,-176.78,-408.02,-209.65,131.22,131.22,131.22
12079.132,439.34,1844.80,275.80,-195.21,-395.95,-209.44,131.22,131.22,131.22
12079.163,439.34,1844.80,275.80,-195.21,-395.95,-209.44,131.22,131.22,131.22
12079.21,439.34,1844.80,275.80,-195.21,-395.95,-209.44,131.22,131.22,131.22
12079.241,410.77,1904.64,267.33,-174.43,-429.69,-208.32,119.55,119.55,119.55
12079.288,410.77,1904.64,267.33,-174.43,-429.69,-208.32,119.55,119.55,119.55
12079.319,402.24,1872.02,267.81,-173.48,-411.45,-208.78,119.55,119.55,119.55
12079.366,402.24,1872.02,267.81,-173.48,-411.45,-208.78,119.55,119.55,119.55
12079.397,400.01,1855.94,267.36,-177.73,-404.53,-209.07,119.55,119.55,119.55
12079.444,400.01,1855.94,267.36,-177.73,-404.53,-209.07,119.55,119.55,119.55
12079.476,382.18,1843.91,267.12,-152.10,-396.64,-211.58,107.25,107.25,107.25
12079.522,382.18,1843.91,267.12,-152.10,-396.64,-211.58,107.25,107.25,107.25
12079.554,369.71,1838.80,272.19,-163.36,-398.58,-214.28,107.25,107.25,107.25
12079.616,369.71,1838.80,272.19,-163.36,-398.58,-214.28,107.25,107.25,107.25
12079.663,447.12,1888.74,273.69,-200.33,-418.50,-208.46,107.25,107.25,107.25
