set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "T.x" w linespoints
11927.183,273.92,457.67,408.13,0
11927.23,271.19,481.97,404.73,0
11927.277,268.69,488.73,370.93,0
11927.323,268.69,488.73,370.93,0
11927.37,270.01,464.54,396.79,0
11927.402,270.01,464.54,396.79,0
11927.448,268.38,461.45,379.40,0
11927.48,268.38,461.45,379.40,0
11927.527,268.38,461.45,379.40,0
11927.573,265.75,517.04,405.41,0
11927.62,268.92,479.52,391.45,0
11927.667,268.92,479.52,391.45,0
11927.714,269.11,484.11,415.58,0
11927.745,269.11,484.11,415.58,0
11927.792,266.83,488.18,382.17,0
11927.839,266.83,488.18,382.17,0
11927.886,272.37,454.35,434.16,0
11927.917,272.37,454.35,434.16,0
11927.948,272.37,454.35,434.16,0
11928.011,270.20,454.73,406.83,0
11928.058,272.29,442.76,424.47,0
11928.089,272.29,442.76,424.47,0
11928.136,270.43,466.41,389.96,0
11928.198,270.43,466.41,389.96,0
11928.23,269.58,481.18,390.91,0
11928.277,269.58,481.18,390.91,0
11928.308,270.19,447.14,397.25,0
11928.355,270.19,447.14,397.25,0
11928.386,266.44,501.81,428.81,0
11928.417,266.44,501.81,428.81,0
11928.464,269.63,461.42,388.58,0
11928.495,269.63,461.42,388.58,0
11928.527,269.63,461.42,388.58,0
11928.573,266.60,476.98,401.18,0
11928.605,266.60,476.98,401.18,0
11928.652,263.37,494.55,361.71,0
11928.683,263.37,494.55,361.71,0
11928.714,272.70,476.44,407.29,0
11928.761,272.70,476.44,407.29,0
11928.792,285.32,473.80,400.83,0
11928.839,285.32,473.80,400.83,0
11928.886,268.79,472.70,410.80,0
11928.917,268.79,472.70,410.80,0
11928.964,268.79,472.70,410.80,0
11928.995,269.11,464.48,408.24,0
11929.042,269.11,464.48,408.24,0
11929.073,265.63,475.44,404.16,0
11929.105,265.63,475.44,404.16,0
11929.152,268.63,492.98,430.78,0
11929.194,268.63,492.98,430.78,0
11929.226,267.67,477.30,403.86,0
11929.257,267.67,477.30,403.86,0
11929.304,270.07,436.56,411.70,0
11929.351,270.07,436.56,411.70,0
11929.397,268.62,466.65,433.14,0
11929.429,268.62,466.65,433.14,0
11929.46,267.87,489.77,405.65,0
11929.507,267.87,489.77,405.65,0
11929.554,266.13,498.67,395.10,0
11929.585,266.13,498.67,395.10,0
11929.647,271.14,465.46,389.01,0
11929.679,271.14,465.46,389.01,0
11929.71,268.88,488.26,402.16,0
11929.757,268.88,488.26,402.16,0
11929.804,272.51,438.40,416.19,0
11929.835,272.51,438.40,416.19,0
11929.866,272.51,438.40,416.19,0
11929.929,266.78,490.06,385.78,0
11929.976,264.89,479.39,403.03,0
11930.007,264.89,479.39,403.03,0
11930.054,266.80,1195.99,418.55,0
11930.101,266.80,1195.99,418.55,0
11930.132,271.43,1854.41,415.50,0
11930.163,271.43,1854.41,415.50,0
11930.205,271.43,1854.41,415.50,0
11930.236,266.73,1871.36,411.25,0
11930.283,266.73,1871.36,411.25,0
11930.315,266.53,1879.59,406.54,1441.19
11930.361,266.53,1879.59,406.54,0
