TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
8546.46,421.37,519.16,298.12,-185.93,-366.39,-238.77,115.43,115.43,115.43
8546.507,465.63,500.16,302.47,-207.06,-364.52,-237.20,115.43,115.43,115.43
8546.538,465.63,500.16,302.47,-207.06,-364.52,-237.20,115.43,115.43,115.43
8546.585,465.63,500.16,302.47,-207.06,-364.52,-237.20,115.43,115.43,115.43
8546.616,488.90,536.63,303.68,-215.89,-375.75,-234.31,115.43,115.43,115.43
8546.679,453.88,507.50,302.61,-217.36,-365.15,-234.30,122.32,122.32,122.32
8546.71,453.88,507.50,302.61,-217.36,-365.15,-234.30,122.32,122.32,122.32
8546.757,439.25,514.45,303.17,-201.25,-372.30,-236.76,122.32,122.32,122.32
8546.788,439.25,514.45,303.17,-201.25,-372.30,-236.76,122.32,122.32,122.32
8546.835,439.25,514.45,303.17,-201.25,-372.30,-236.76,122.32,122.32,122.32
8546.866,436.58,497.95,301.59,-194.30,-362.89,-236.80,122.32,122.32,122.32
8546.913,436.58,497.95,301.59,-194.30,-362.89,-236.80,122.32,122.32,122.32
8546.944,430.81,517.87,299.62,-205.72,-367.00,-236.37,75.11,75.11,75.11
8546.991,430.81,517.87,299.62,-205.72,-367.00,-236.37,75.11,75.11,75.11
8547.023,452.41,497.59,302.72,-204.62,-366.12,-236.50,75.11,75.11,75.11
8547.069,452.41,497.59,302.72,-204.62,-366.12,-236.50,75.11,75.11,75.11
8547.101,469.18,520.63,303.06,-220.07,-377.60,-235.28,75.11,75.11,75.11
8547.132,469.18,520.63,303.06,-220.07,-377.60,-235.28,75.11,75.11,75.11
8547.19,405.71,505.72,309.53,-179.41,-361.43,-241.29,125.41,125.41,125.41
8547.221,405.71,505.72,309.53,-179.41,-361.43,-241.29,125.41,125.41,125.41
8547.268,405.71,505.72,309.53,-179.41,-361.43,-241.29,125.41,125.41,125.41
8547.299,477.84,502.75,303.22,-225.50,-375.54,-234.74,125.41,125.41,125.41
8547.346,477.84,502.75,303.22,-225.50,-375.54,-234.74,125.41,125.41,125.41
8547.377,431.99,499.55,300.36,-198.90,-366.99,-239.17,125.41,125.41,125.41
8547.424,431.99,499.55,300.36,-198.90,-366.99,-239.17,125.41,125.41,125.41
8547.455,465.16,470.70,304.07,-206.76,-357.23,-238.12,80.50,80.50,80.50
8547.502,465.16,470.70,304.07,-206.76,-357.23,-238.12,80.50,80.50,80.50
8547.533,459.24,452.58,307.54,-203.37,-343.67,-239.20,80.50,80.50,80.50
8547.58,459.24,452.58,307.54,-203.37,-343.67,-239.20,80.50,80.50,80.50
8547.612,446.05,495.38,299.31,-205.50,-362.56,-236.02,80.50,80.50,80.50
8547.658,446.05,495.38,299.31,-205.50,-362.56,-236.02,80.50,80.50,80.50
8547.705,478.31,445.41,304.47,-212.66,-348.31,-239.04,128.09,128.09,128.09
8547.768,478.31,445.41,304.47,-212.66,-348.31,-239.04,128.09,128.09,128.09
8547.799,469.07,506.33,302.12,-217.37,-375.12,-235.84,128.09,128.09,128.09
8547.83,469.07,506.33,302.12,-217.37,-375.12,-235.84,128.09,128.09,128.09
8547.877,437.42,481.15,302.29,-202.54,-358.93,-237.92,128.09,128.09,128.09
8547.924,437.42,481.15,302.29,-202.54,-358.93,-237.92,128.09,128.09,128.09
8547.971,435.56,526.84,299.24,-185.44,-371.76,-239.52,118.97,118.97,118.97
8548.002,435.56,526.84,299.24,-185.44,-371.76,-239.52,118.97,118.97,118.97
8548.049,460.68,486.65,308.62,-205.34,-359.72,-239.62,118.97,118.97,118.97
8548.08,460.68,486.65,308.62,-205.34,-359.72,-239.62,118.97,118.97,118.97
8548.127,478.91,460.04,314.90,-215.36,-360.35,-242.86,118.97,118.97,118.97
8548.158,478.91,460.04,314.90,-215.36,-360.35,-242.86,118.97,118.97,118.97
8548.205,404.05,479.95,305.35,-182.96,-346.89,-243.87,108.32,108.32,108.32
8548.237,404.05,479.95,305.35,-182.96,-346.89,-243.87,108.32,108.32,108.32
8548.283,434.69,538.55,297.83,-194.80,-384.67,-237.98,108.32,108.32,108.32
8548.315,434.69,538.55,297.83,-194.80,-384.67,-237.98,108.32,108.32,108.32
8548.362,507.92,470.24,303.84,-226.21,-364.05,-236.98,108.32,108.32,108.32
8548.408,507.92,470.24,303.84,-226.21,-364.05,-236.98,108.32,108.32,108.32
8548.44,458.81,458.42,302.81,-208.87,-343.87,-240.86,127.88,127.88,127.88
8548.487,458.81,458.42,302.81,-208.87,-343.87,-240.86,127.88,127.88,127.88
8548.518,506.21,518.14,299.13,-220.77,-383.36,-235.31,127.88,127.88,127.88
8548.549,506.21,518.14,299.13,-220.77,-383.36,-235.31,127.88,127.88,127.88
8548.596,506.21,518.14,299.13,-220.77,-383.36,-235.31,127.88,127.88,127.88
8548.627,476.93,477.69,299.28,-211.32,-363.58,-237.97,127.88,127.88,127.88
8548.666,476.93,477.69,299.28,-211.32,-363.58,-237.97,127.88,127.88,127.88
8548.697,484.16,525.68,301.11,-217.46,-381.98,-236.02,103.35,103.35,103.35
8548.728,484.16,525.68,301.11,-217.46,-381.98,-236.02,103.35,103.35,103.35
8548.791,457.85,512.62,299.09,-204.57,-372.80,-238.52,103.35,103.35,103.35
8548.822,457.85,512.62,299.09,-204.57,-372.80,-238.52,103.35,103.35,103.35
8548.869,463.75,489.88,298.73,-202.23,-362.27,-238.02,103.35,103.35,103.35
8548.9,463.75,489.88,298.73,-202.23,-362.27,-238.02,103.35,103.35,103.35
8548.947,452.91,514.97,301.37,-202.41,-379.88,-238.60,100.36,100.36,100.36
8548.978,452.91,514.97,301.37,-202.41,-379.88,-238.60,100.36,100.36,100.36
8549.025,463.62,486.01,305.55,-197.82,-357.70,-240.93,100.36,100.36,100.36
8549.057,463.62,486.01,305.55,-197.82,-357.70,-240.93,100.36,100.36,100.36
8549.103,471.71,493.24,301.12,-204.13,-364.53,-238.49,100.36,100.36,100.36
8549.135,471.71,493.24,301.12,-204.13,-364.53,-238.49,100.36,100.36,100.36
8549.17,471.71,493.24,301.12,-204.13,-364.53,-238.49,100.36,100.36,100.36
8549.208,511.73,455.80,304.38,-217.56,-349.07,-235.46,105.69,105.69,105.69
8549.255,511.73,455.80,304.38,-217.56,-349.07,-235.46,105.69,105.69,105.69
8549.302,482.64,522.41,303.20,-221.77,-371.44,-232.28,105.69,105.69,105.69
8549.333,482.64,522.41,303.20,-221.77,-371.44,-232.28,105.69,105.69,105.69
8549.364,487.75,474.86,301.26,-215.66,-357.17,-234.00,105.69,105.69,105.69
8549.411,487.75,474.86,301.26,-215.66,-357.17,-234.00,105.69,105.69,105.69
8549.442,425.66,479.61,299.44,-186.86,-352.35,-239.25,140.07,140.07,140.07
8549.489,425.66,479.61,299.44,-186.86,-352.35,-239.25,140.07,140.07,140.07
8549.52,419.22,526.67,294.55,-182.16,-367.74,-237.95,140.07,140.07,140.07
8549.567,419.22,526.67,294.55,-182.16,-367.74,-237.95,140.07,140.07,140.07
8549.599,437.33,486.25,300.68,-200.91,-356.36,-238.69,140.07,140.07,140.07
8549.645,437.33,486.25,300.68,-200.91,-356.36,-238.69,140.07,140.07,140.07
8549.692,442.03,487.44,302.82,-202.52,-360.75,-239.59,98.45,98.45,98.45
8549.724,442.03,487.44,302.82,-202.52,-360.75,-239.59,98.45,98.45,98.45
8549.755,442.03,487.44,302.82,-202.52,-360.75,-239.59,98.45,98.45,98.45
8549.802,434.80,448.54,305.01,-188.92,-337.05,-239.37,98.45,98.45,98.45
8549.833,434.80,448.54,305.01,-188.92,-337.05,-239.37,98.45,98.45,98.45
8549.88,477.12,488.28,303.56,-226.62,-371.47,-233.06,98.45,98.45,98.45
8549.911,477.12,488.28,303.56,-226.62,-371.47,-233.06,98.45,98.45,98.45
8549.958,543.86,468.42,306.95,-229.91,-361.01,-234.89,140.49,140.49,140.49
8549.989,543.86,468.42,306.95,-229.91,-361.01,-234.89,140.49,140.49,140.49
8550.02,521.27,500.84,305.46,-228.86,-370.47,-232.52,140.49,140.49,140.49
8550.067,521.27,500.84,305.46,-228.86,-370.47,-232.52,140.49,140.49,140.49
8550.099,483.27,472.22,308.41,-204.02,-348.83,-235.22,140.49,140.49,140.49
8550.146,483.27,472.22,308.41,-204.02,-348.83,-235.22,140.49,140.49,140.49
8550.192,399.84,508.02,307.76,-181.81,-357.58,-238.27,125.58,125.58,125.58
8550.224,399.84,508.02,307.76,-181.81,-357.58,-238.27,125.58,125.58,125.58
8550.255,399.84,508.02,307.76,-181.81,-357.58,-238.27,125.58,125.58,125.58
8550.302,406.37,518.17,296.52,-183.08,-368.42,-236.76,125.58,125.58,125.58
8550.349,406.37,518.17,296.52,-183.08,-368.42,-236.76,125.58,125.58,125.58
8550.396,455.07,508.99,298.76,-209.55,-373.59,-233.57,125.58,125.58,125.58
8550.442,456.07,472.23,303.49,-203.99,-354.33,-236.66,97.60,97.60,97.60
8550.474,456.07,472.23,303.49,-203.99,-354.33,-236.66,97.60,97.60,97.60
8550.521,443.40,493.79,303.18,-195.99,-362.65,-237.44,97.60,97.60,97.60
8550.552,443.40,493.79,303.18,-195.99,-362.65,-237.44,97.60,97.60,97.60
8550.599,443.40,493.79,303.18,-195.99,-362.65,-237.44,97.60,97.60,97.60
8550.645,457.85,469.69,305.40,-210.88,-358.20,-236.86,97.60,97.60,97.60
8550.677,457.85,469.69,305.40,-210.88,-358.20,-236.86,97.60,97.60,97.60
8550.708,469.30,509.03,302.83,-210.53,-376.42,-235.14,136.62,136.62,136.62
8550.755,469.30,509.03,302.83,-210.53,-376.42,-235.14,136.62,136.62,136.62
8550.786,455.89,495.08,303.12,-207.23,-366.07,-235.84,136.62,136.62,136.62
8550.833,455.89,495.08,303.12,-207.23,-366.07,-235.84,136.62,136.62,136.62
8550.88,456.03,436.10,308.82,-205.11,-337.71,-238.23,136.62,136.62,136.62
8550.927,456.03,436.10,308.82,-205.11,-337.71,-238.23,136.62,136.62,136.62
8550.958,448.80,479.65,301.01,-211.31,-354.06,-235.85,125.45,125.45,125.45
8551.005,448.80,479.65,301.01,-211.31,-354.06,-235.85,125.45,125.45,125.45
8551.036,449.45,489.11,300.87,-203.32,-359.73,-236.82,125.45,125.45,125.45
8551.083,449.45,489.11,300.87,-203.32,-359.73,-236.82,125.45,125.45,125.45
8551.114,427.69,495.54,301.99,-202.79,-358.59,-236.79,125.45,125.45,125.45
8551.161,427.69,495.54,301.99,-202.79,-358.59,-236.79,125.45,125.45,125.45
8551.203,432.79,473.10,307.02,-197.90,-350.37,-237.97,144.81,144.81,144.81
8551.234,432.79,473.10,307.02,-197.90,-350.37,-237.97,144.81,144.81,144.81
8551.266,432.79,473.10,307.02,-197.90,-350.37,-237.97,144.81,144.81,144.81
8551.313,467.40,447.06,307.19,-206.64,-342.14,-237.96,144.81,144.81,144.81
8551.344,467.40,447.06,307.19,-206.64,-342.14,-237.96,144.81,144.81,144.81
8551.406,480.10,477.41,305.80,-222.26,-365.67,-233.62,144.81,144.81,144.81
8551.438,480.10,477.41,305.80,-222.26,-365.67,-233.62,144.81,144.81,144.81
8551.484,476.30,522.16,302.45,-215.69,-376.21,-231.64,118.41,118.41,118.41
8551.516,476.30,522.16,302.45,-215.69,-376.21,-231.64,118.41,118.41,118.41
8551.578,514.08,464.55,305.13,-220.18,-355.43,-233.59,118.41,118.41,118.41
8551.625,480.00,518.61,301.86,-215.42,-376.66,-233.89,118.41,118.41,118.41
8551.672,480.00,518.61,301.86,-215.42,-376.66,-233.89,118.41,118.41,118.41
8551.703,430.78,525.86,299.64,-201.29,-373.73,-234.20,107.36,107.36,107.36
8551.75,430.78,525.86,299.64,-201.29,-373.73,-234.20,107.36,107.36,107.36
8551.781,428.32,496.26,300.64,-181.90,-355.25,-237.73,107.36,107.36,107.36
8551.828,428.32,496.26,300.64,-181.90,-355.25,-237.73,107.36,107.36,107.36
8551.875,478.51,437.20,304.20,-208.51,-344.70,-235.76,107.36,107.36,107.36
8551.906,478.51,437.20,304.20,-208.51,-344.70,-235.76,107.36,107.36,107.36
8551.938,478.51,437.20,304.20,-208.51,-344.70,-235.76,107.36,107.36,107.36
8551.985,485.41,523.43,298.14,-216.62,-378.92,-232.00,119.11,119.11,119.11
8552.016,485.41,523.43,298.14,-216.62,-378.92,-232.00,119.11,119.11,119.11
8552.063,1342.73,483.91,300.57,-216.27,-360.74,-235.16,119.11,119.11,119.11
8552.094,1342.73,483.91,300.57,-216.27,-360.74,-235.16,119.11,119.11,119.11
8552.125,1347.71,467.75,300.12,-205.83,-351.18,-238.83,119.11,119.11,119.11
8552.172,1347.71,467.75,300.12,-205.83,-351.18,-238.83,119.11,119.11,119.11
8552.203,1301.22,536.13,295.99,-205.86,-380.60,-236.61,214.09,214.09,214.09
8552.25,1301.22,536.13,295.99,-205.86,-380.60,-236.61,214.09,214.09,214.09
8552.281,1371.98,469.08,301.15,-210.76,-355.00,-236.76,214.09,214.09,214.09
8552.328,1371.98,469.08,301.15,-210.76,-355.00,-236.76,214.09,214.09,214.09
8552.375,1404.54,489.02,301.55,-227.29,-365.91,-232.10,214.09,214.09,214.09
8552.406,1404.54,489.02,301.55,-227.29,-365.91,-232.10,214.09,214.09,214.09
8552.469,1345.23,529.99,301.95,-222.15,-374.71,-233.53,214.90,214.90,214.90
8552.5,1345.23,529.99,301.95,-222.15,-374.71,-233.53,214.90,214.90,214.90
8552.547,1345.23,529.99,301.95,-222.15,-374.71,-233.53,214.90,214.90,214.90
8552.594,1346.50,494.45,297.67,-209.78,-358.12,-233.20,214.90,214.90,214.90
8552.641,1356.04,514.07,298.18,-227.51,-375.13,-232.12,214.90,214.90,214.90
8552.672,1356.04,514.07,298.18,-227.51,-375.13,-232.12,214.90,214.90,214.90
8552.735,1363.03,458.94,301.63,-220.28,-354.86,-235.07,206.42,206.42,206.42
8552.766,1363.03,458.94,301.63,-220.28,-354.86,-235.07,206.42,206.42,206.42
8552.797,1335.85,447.12,298.95,-199.04,-345.74,-236.84,206.42,206.42,206.42
8552.844,1335.85,447.12,298.95,-199.04,-345.74,-236.84,206.42,206.42,206.42
8552.891,1327.49,480.77,302.88,-212.13,-353.14,-235.69,206.42,206.42,206.42
8552.938,1327.49,480.77,302.88,-212.13,-353.14,-235.69,206.42,206.42,206.42
8552.985,1334.61,455.27,303.54,-193.20,-339.26,-238.65,209.54,209.54,209.54
8553.047,1334.61,455.27,303.54,-193.20,-339.26,-238.65,209.54,209.54,209.54
8553.078,1377.91,525.47,301.35,-232.22,-383.12,-231.03,209.54,209.54,209.54
8553.125,1377.91,525.47,301.35,-232.22,-383.12,-231.03,209.54,209.54,209.54
8553.156,1348.01,470.48,302.76,-211.10,-356.17,-235.37,209.54,209.54,209.54
8553.199,1348.01,470.48,302.76,-211.10,-356.17,-235.37,209.54,209.54,209.54
8553.245,1399.73,483.56,303.65,-232.25,-366.43,-231.67,227.15,227.15,227.15
8553.292,1399.73,483.56,303.65,-232.25,-366.43,-231.67,227.15,227.15,227.15
8553.324,1351.62,545.19,298.00,-212.67,-382.49,-231.35,227.15,227.15,227.15
8553.37,1351.62,545.19,298.00,-212.67,-382.49,-231.35,227.15,227.15,227.15
8553.402,1321.85,533.40,300.06,-218.57,-375.05,-232.87,227.15,227.15,227.15
8553.449,1321.85,533.40,300.06,-218.57,-375.05,-232.87,227.15,227.15,227.15
8553.48,1358.95,521.27,303.82,-234.58,-378.89,-230.98,230.68,230.68,230.68
8553.542,1358.95,521.27,303.82,-234.58,-378.89,-230.98,230.68,230.68,230.68
8553.574,1384.44,487.00,304.66,-226.94,-364.76,-233.35,230.68,230.68,230.68
8553.62,1384.44,487.00,304.66,-226.94,-364.76,-233.35,230.68,230.68,230.68
8553.652,1331.21,475.89,301.17,-215.07,-359.14,-235.18,230.68,230.68,230.68
8553.683,1331.21,475.89,301.17,-215.07,-359.14,-235.18,230.68,230.68,230.68
8553.73,1341.16,450.62,302.96,-200.63,-346.47,-239.27,197.43,197.43,197.43
8553.777,1341.16,450.62,302.96,-200.63,-346.47,-239.27,197.43,197.43,197.43
8553.824,1330.08,519.30,299.53,-218.22,-373.44,-235.63,197.43,197.43,197.43
8553.855,1330.08,519.30,299.53,-218.22,-373.44,-235.63,197.43,197.43,197.43
8553.902,1361.56,497.41,303.30,-230.39,-373.59,-233.54,197.43,197.43,197.43
8553.933,1361.56,497.41,303.30,-230.39,-373.59,-233.54,197.43,197.43,197.43
8553.964,1289.23,514.34,301.42,-204.70,-368.66,-236.97,222.92,222.92,222.92
8554.011,1289.23,514.34,301.42,-204.70,-368.66,-236.97,222.92,222.92,222.92
8554.058,1325.99,490.31,301.80,-217.05,-361.41,-233.78,222.92,222.92,222.92
8554.089,1325.99,490.31,301.80,-217.05,-361.41,-233.78,222.92,222.92,222.92
8554.12,1325.99,490.31,301.80,-217.05,-361.41,-233.78,222.92,222.92,222.92
8554.167,1339.32,482.16,302.89,-216.70,-363.09,-234.42,222.92,222.92,222.92
8554.199,1339.32,482.16,302.89,-216.70,-363.09,-234.42,222.92,222.92,222.92
8554.245,1340.87,485.99,299.04,-215.09,-356.54,-234.96,202.72,202.72,202.72
8554.277,1340.87,485.99,299.04,-215.09,-356.54,-234.96,202.72,202.72,202.72
8554.324,1302.72,477.69,299.19,-195.13,-345.99,-237.25,202.72,202.72,202.72
8554.355,1302.72,477.69,299.19,-195.13,-345.99,-237.25,202.72,202.72,202.72
8554.386,1346.96,506.59,298.72,-229.51,-368.92,-231.59,202.72,202.72,202.72
8554.433,1346.96,506.59,298.72,-229.51,-368.92,-231.59,202.72,202.72,202.72
8554.464,1323.34,492.12,303.34,-214.02,-364.07,-235.21,209.93,209.93,209.93
8554.495,1323.34,492.12,303.34,-214.02,-364.07,-235.21,209.93,209.93,209.93
8554.527,1323.34,492.12,303.34,-214.02,-364.07,-235.21,209.93,209.93,209.93
8554.589,1341.39,500.05,301.23,-210.24,-366.71,-235.28,209.93,209.93,209.93
8554.636,1328.12,492.27,304.10,-210.65,-359.60,-237.76,209.93,209.93,209.93
8554.683,1328.12,492.27,304.10,-210.65,-359.60,-237.76,209.93,209.93,209.93
8554.714,1334.45,520.14,299.86,-227.98,-379.10,-234.41,211.57,211.57,211.57
8554.761,1334.45,520.14,299.86,-227.98,-379.10,-234.41,211.57,211.57,211.57
8554.808,1348.04,461.34,304.35,-201.01,-350.88,-238.24,211.57,211.57,211.57
8554.839,1348.04,461.34,304.35,-201.01,-350.88,-238.24,211.57,211.57,211.57
8554.87,1348.04,461.34,304.35,-201.01,-350.88,-238.24,211.57,211.57,211.57
8554.917,1367.82,482.72,305.78,-234.30,-371.47,-232.84,211.57,211.57,211.57
8554.949,1367.82,482.72,305.78,-234.30,-371.47,-232.84,211.57,211.57,211.57
8554.995,1342.11,463.66,307.05,-221.87,-356.32,-236.68,242.56,242.56,242.56
8555.027,1342.11,463.66,307.05,-221.87,-356.32,-236.68,242.56,242.56,242.56
8555.058,1327.14,502.48,299.75,-216.98,-361.27,-234.61,242.56,242.56,242.56
8555.12,1327.14,502.48,299.75,-216.98,-361.27,-234.61,242.56,242.56,242.56
8555.154,1342.07,491.37,300.06,-216.58,-363.87,-236.34,242.56,242.56,242.56
8555.194,1342.07,491.37,300.06,-216.58,-363.87,-236.34,242.56,242.56,242.56
8555.226,1357.43,497.52,301.78,-220.49,-373.24,-235.66,211.03,211.03,211.03
8555.272,1357.43,497.52,301.78,-220.49,-373.24,-235.66,211.03,211.03,211.03
8555.307,1348.27,499.31,298.44,-223.80,-370.54,-234.14,211.03,211.03,211.03
8555.338,1348.27,499.31,298.44,-223.80,-370.54,-234.14,211.03,211.03,211.03
