TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
8969.158,381.35,528.46,404.19,-151.86,-371.63,-227.50,107.90,107.90,107.90
8969.2,395.15,487.38,407.16,-164.66,-362.84,-228.75,107.90,107.90,107.90
8969.247,395.15,487.38,407.16,-164.66,-362.84,-228.75,107.90,107.90,107.90
8969.293,404.63,474.40,407.15,-172.70,-359.12,-228.16,107.90,107.90,107.90
8969.325,404.63,474.40,407.15,-172.70,-359.12,-228.16,107.90,107.90,107.90
8969.372,351.54,466.35,407.09,-139.05,-340.94,-231.00,129.19,129.19,129.19
8969.403,351.54,466.35,407.09,-139.05,-340.94,-231.00,129.19,129.19,129.19
8969.434,351.54,466.35,407.09,-139.05,-340.94,-231.00,129.19,129.19,129.19
8969.481,352.17,469.30,406.07,-145.64,-346.40,-231.10,129.19,129.19,129.19
8969.512,352.17,469.30,406.07,-145.64,-346.40,-231.10,129.19,129.19,129.19
8969.559,375.06,473.25,406.27,-143.30,-349.17,-229.05,129.19,129.19,129.19
8969.606,375.06,473.25,406.27,-143.30,-349.17,-229.05,129.19,129.19,129.19
8969.653,393.76,487.17,404.99,-167.59,-358.01,-228.14,65.37,65.37,65.37
8969.684,393.76,487.17,404.99,-167.59,-358.01,-228.14,65.37,65.37,65.37
8969.731,448.08,484.43,404.27,-195.76,-362.58,-225.07,65.37,65.37,65.37
8969.762,448.08,484.43,404.27,-195.76,-362.58,-225.07,65.37,65.37,65.37
8969.809,432.29,483.87,403.36,-185.62,-363.63,-226.52,65.37,65.37,65.37
8969.84,432.29,483.87,403.36,-185.62,-363.63,-226.52,65.37,65.37,65.37
8969.883,409.03,497.24,399.28,-170.81,-365.83,-226.27,92.86,92.86,92.86
8969.915,409.03,497.24,399.28,-170.81,-365.83,-226.27,92.86,92.86,92.86
8969.962,354.14,488.92,402.00,-144.70,-356.21,-230.41,92.86,92.86,92.86
8970.025,354.14,488.92,402.00,-144.70,-356.21,-230.41,92.86,92.86,92.86
8970.087,380.26,482.39,403.03,-167.44,-359.92,-226.87,92.86,92.86,92.86
8970.118,394.80,469.35,407.33,-177.81,-356.96,-226.15,70.72,70.72,70.72
8970.165,394.80,469.35,407.33,-177.81,-356.96,-226.15,70.72,70.72,70.72
8970.212,359.57,480.87,408.36,-158.34,-360.05,-227.57,70.72,70.72,70.72
8970.243,359.57,480.87,408.36,-158.34,-360.05,-227.57,70.72,70.72,70.72
8970.29,347.91,492.63,401.13,-153.52,-357.66,-230.53,70.72,70.72,70.72
8970.321,347.91,492.63,401.13,-153.52,-357.66,-230.53,70.72,70.72,70.72
8970.368,381.08,478.74,399.43,-172.80,-361.79,-224.84,65.72,65.72,65.72
8970.415,381.08,478.74,399.43,-172.80,-361.79,-224.84,65.72,65.72,65.72
8970.446,375.34,439.27,407.92,-149.77,-331.14,-227.89,65.72,65.72,65.72
8970.478,375.34,439.27,407.92,-149.77,-331.14,-227.89,65.72,65.72,65.72
8970.525,375.34,439.27,407.92,-149.77,-331.14,-227.89,65.72,65.72,65.72
8970.556,415.64,491.04,409.87,-186.37,-370.08,-225.60,65.72,65.72,65.72
8970.603,415.64,491.04,409.87,-186.37,-370.08,-225.60,65.72,65.72,65.72
8970.634,365.07,492.33,405.91,-165.03,-359.72,-226.33,103.02,103.02,103.02
8970.681,365.07,492.33,405.91,-165.03,-359.72,-226.33,103.02,103.02,103.02
8970.712,336.62,477.56,410.14,-144.23,-348.54,-232.27,103.02,103.02,103.02
8970.743,336.62,477.56,410.14,-144.23,-348.54,-232.27,103.02,103.02,103.02
8970.79,410.61,506.33,411.00,-184.05,-369.88,-226.40,103.02,103.02,103.02
8970.821,410.61,506.33,411.00,-184.05,-369.88,-226.40,103.02,103.02,103.02
8970.868,391.00,501.19,400.69,-173.07,-364.06,-225.61,89.27,89.27,89.27
8970.915,391.00,501.19,400.69,-173.07,-364.06,-225.61,89.27,89.27,89.27
8970.947,390.59,484.93,404.65,-170.00,-364.19,-225.74,89.27,89.27,89.27
8970.978,390.59,484.93,404.65,-170.00,-364.19,-225.74,89.27,89.27,89.27
8971.04,392.91,487.64,405.52,-165.98,-361.65,-227.76,89.27,89.27,89.27
8971.071,392.91,487.64,405.52,-165.98,-361.65,-227.76,89.27,89.27,89.27
8971.118,371.89,481.46,400.78,-168.54,-360.35,-226.45,98.57,98.57,98.57
8971.15,371.89,481.46,400.78,-168.54,-360.35,-226.45,98.57,98.57,98.57
8971.207,359.72,451.55,406.91,-148.59,-342.06,-228.45,98.57,98.57,98.57
8971.238,359.72,451.55,406.91,-148.59,-342.06,-228.45,98.57,98.57,98.57
8971.285,359.72,451.55,406.91,-148.59,-342.06,-228.45,98.57,98.57,98.57
8971.317,542.34,439.39,407.40,198.52,-339.31,-227.53,98.57,98.57,98.57
8971.363,542.34,439.39,407.40,198.52,-339.31,-227.53,98.57,98.57,98.57
8971.395,530.17,500.43,401.70,190.89,-371.67,-227.25,96.83,96.83,96.83
8971.442,530.17,500.43,401.70,190.89,-371.67,-227.25,96.83,96.83,96.83
8971.473,555.47,466.06,407.06,205.92,-361.46,-226.39,96.83,96.83,96.83
8971.52,555.47,466.06,407.06,205.92,-361.46,-226.39,96.83,96.83,96.83
8971.551,527.88,492.09,404.89,187.71,-364.23,-228.38,96.83,96.83,96.83
8971.613,527.88,492.09,404.89,187.71,-364.23,-228.38,96.83,96.83,96.83
8971.645,522.83,483.16,405.40,189.62,-361.41,-227.45,92.93,92.93,92.93
8971.692,522.83,483.16,405.40,189.62,-361.41,-227.45,92.93,92.93,92.93
8971.738,497.66,478.89,403.68,158.09,-349.11,-231.17,92.93,92.93,92.93
8971.77,497.66,478.89,403.68,158.09,-349.11,-231.17,92.93,92.93,92.93
