TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
10629.91,430.79,490.82,280.72,-192.28,-373.33,-222.31,80.98,80.98,80.98
10629.957,430.79,490.82,280.72,-192.28,-373.33,-222.31,80.98,80.98,80.98
10629.988,449.37,452.65,280.07,-190.07,-359.18,-220.33,80.98,80.98,80.98
10630.02,449.37,452.65,280.07,-190.07,-359.18,-220.33,80.98,80.98,80.98
10630.082,415.44,512.79,273.66,-174.59,-374.58,-222.48,122.70,122.70,122.70
10630.113,415.44,512.79,273.66,-174.59,-374.58,-222.48,122.70,122.70,122.70
10630.16,392.36,516.67,269.58,-161.21,-372.93,-221.18,122.70,122.70,122.70
10630.202,392.36,516.67,269.58,-161.21,-372.93,-221.18,122.70,122.70,122.70
10630.249,453.54,483.67,278.21,-195.71,-378.29,-219.92,122.70,122.70,122.70
10630.281,453.54,483.67,278.21,-195.71,-378.29,-219.92,122.70,122.70,122.70
10630.327,438.11,476.00,281.29,-189.22,-368.54,-221.68,87.31,87.31,87.31
10630.374,438.11,476.00,281.29,-189.22,-368.54,-221.68,87.31,87.31,87.31
10630.437,433.98,484.52,276.89,-192.03,-367.36,-218.68,87.31,87.31,87.31
10630.484,433.98,484.52,276.89,-192.03,-367.36,-218.68,87.31,87.31,87.31
10630.515,428.44,529.75,273.32,-188.00,-378.99,-217.45,87.31,87.31,87.31
10630.562,428.44,529.75,273.32,-188.00,-378.99,-217.45,87.31,87.31,87.31
10630.593,384.90,517.54,273.78,-164.28,-368.24,-220.82,91.53,91.53,91.53
10630.64,384.90,517.54,273.78,-164.28,-368.24,-220.82,91.53,91.53,91.53
10630.671,432.85,444.42,279.18,-178.77,-345.47,-219.52,91.53,91.53,91.53
10630.702,432.85,444.42,279.18,-178.77,-345.47,-219.52,91.53,91.53,91.53
10630.749,465.86,484.62,278.21,-206.20,-374.42,-217.20,91.53,91.53,91.53
10630.781,465.86,484.62,278.21,-206.20,-374.42,-217.20,91.53,91.53,91.53
10630.827,431.51,492.31,276.64,-195.46,-372.45,-218.76,92.64,92.64,92.64
10630.859,431.51,492.31,276.64,-195.46,-372.45,-218.76,92.64,92.64,92.64
10630.906,405.79,464.31,281.23,-164.88,-348.58,-222.74,92.64,92.64,92.64
10630.937,405.79,464.31,281.23,-164.88,-348.58,-222.74,92.64,92.64,92.64
10630.984,405.79,464.31,281.23,-164.88,-348.58,-222.74,92.64,92.64,92.64
10631.015,437.30,490.23,280.48,-188.67,-371.74,-222.52,92.64,92.64,92.64
10631.062,437.30,490.23,280.48,-188.67,-371.74,-222.52,92.64,92.64,92.64
10631.109,417.05,467.12,270.61,-174.83,-358.85,-215.95,100.64,100.64,100.64
10631.156,417.05,467.12,270.61,-174.83,-358.85,-215.95,100.64,100.64,100.64
10631.187,440.52,452.05,265.35,-194.50,-357.83,-201.20,100.64,100.64,100.64
10631.234,440.52,452.05,265.35,-194.50,-357.83,-201.20,100.64,100.64,100.64
10631.265,471.69,490.48,263.27,-203.66,-374.88,-198.16,100.64,100.64,100.64
10631.312,471.69,490.48,263.27,-203.66,-374.88,-198.16,100.64,100.64,100.64
10631.343,461.31,503.87,267.94,-201.28,-382.93,-206.04,93.05,93.05,93.05
10631.374,461.31,503.87,267.94,-201.28,-382.93,-206.04,93.05,93.05,93.05
10631.421,397.44,517.01,270.29,-171.19,-370.04,-218.69,93.05,93.05,93.05
10631.452,397.44,517.01,270.29,-171.19,-370.04,-218.69,93.05,93.05,93.05
10631.499,397.44,517.01,270.29,-171.19,-370.04,-218.69,93.05,93.05,93.05
10631.531,406.89,524.81,294.14,-168.26,-381.86,-234.70,93.05,93.05,93.05
10631.577,406.89,524.81,294.14,-168.26,-381.86,-234.70,93.05,93.05,93.05
10631.624,394.58,505.91,275.09,-165.23,-366.28,-224.02,81.98,81.98,81.98
10631.656,394.58,505.91,275.09,-165.23,-366.28,-224.02,81.98,81.98,81.98
10631.703,822.84,482.98,276.36,-448.07,-373.71,-218.52,81.98,81.98,81.98
10631.734,822.84,482.98,276.36,-448.07,-373.71,-218.52,81.98,81.98,81.98
10631.765,1174.05,528.21,273.35,-184.18,-381.05,-219.17,81.98,81.98,81.98
10631.812,1174.05,528.21,273.35,-184.18,-381.05,-219.17,81.98,81.98,81.98
10631.843,1240.23,485.54,277.59,-215.98,-376.74,-215.32,166.51,166.51,166.51
10631.89,1240.23,485.54,277.59,-215.98,-376.74,-215.32,166.51,166.51,166.51
