TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
12921.026,469.70,408.57,281.41,-211.35,-324.02,-210.29,127.07,127.07,127.07
12921.073,469.70,408.57,281.41,-211.35,-324.02,-210.29,127.07,127.07,127.07
12921.119,493.45,437.73,283.98,-215.68,-336.74,-211.45,109.88,109.88,109.88
12921.151,493.45,437.73,283.98,-215.68,-336.74,-211.45,109.88,109.88,109.88
12921.193,486.07,388.92,301.03,-211.21,-312.06,-213.77,109.88,109.88,109.88
12921.224,486.07,388.92,301.03,-211.21,-312.06,-213.77,109.88,109.88,109.88
12921.271,486.07,388.92,301.03,-211.21,-312.06,-213.77,109.88,109.88,109.88
12921.318,486.92,406.60,278.09,-211.06,-324.70,-211.79,109.88,109.88,109.88
12921.365,486.59,427.99,288.67,-209.06,-328.78,-210.27,101.57,101.57,101.57
12921.411,486.59,427.99,288.67,-209.06,-328.78,-210.27,101.57,101.57,101.57
12921.443,500.29,384.67,300.30,-218.17,-305.22,-211.02,101.57,101.57,101.57
12921.49,500.29,384.67,300.30,-218.17,-305.22,-211.02,101.57,101.57,101.57
12921.536,449.05,447.60,272.12,-194.28,-334.17,-210.62,101.57,101.57,101.57
12921.583,449.05,447.60,272.12,-194.28,-334.17,-210.62,101.57,101.57,101.57
12921.615,474.28,455.38,281.48,-200.14,-346.68,-208.11,93.60,93.60,93.60
12921.661,474.28,455.38,281.48,-200.14,-346.68,-208.11,93.60,93.60,93.60
12921.693,460.47,410.82,291.42,-196.54,-316.26,-212.33,93.60,93.60,93.60
12921.74,460.47,410.82,291.42,-196.54,-316.26,-212.33,93.60,93.60,93.60
12921.771,500.00,391.47,272.88,-217.83,-319.37,-208.92,93.60,93.60,93.60
12921.833,500.00,391.47,272.88,-217.83,-319.37,-208.92,93.60,93.60,93.60
12921.896,508.77,444.29,295.70,-223.42,-350.27,-206.02,100.92,100.92,100.92
12921.927,508.77,444.29,295.70,-223.42,-350.27,-206.02,100.92,100.92,100.92
12921.974,489.17,460.40,307.56,-209.21,-352.38,-213.85,100.92,100.92,100.92
12922.005,489.17,460.40,307.56,-209.21,-352.38,-213.85,100.92,100.92,100.92
12922.052,485.55,352.50,1975.99,-211.32,-296.07,-219.97,100.92,100.92,100.92
12922.083,485.55,352.50,1975.99,-211.32,-296.07,-219.97,100.92,100.92,100.92
12922.13,460.76,365.13,1967.42,-196.77,-297.17,-226.30,122.19,122.19,122.19
12922.177,460.76,365.13,1967.42,-196.77,-297.17,-226.30,122.19,122.19,122.19
12922.208,477.14,353.31,1978.37,-210.38,-296.42,-226.43,122.19,122.19,122.19
12922.24,477.14,353.31,1978.37,-210.38,-296.42,-226.43,122.19,122.19,122.19
12922.302,494.37,349.24,1966.93,-222.49,-300.29,-227.19,122.19,122.19,122.19
12922.333,494.37,349.24,1966.93,-222.49,-300.29,-227.19,122.19,122.19,122.19
12922.38,517.79,361.31,1955.40,-227.56,-309.93,-224.37,114.61,114.61,114.61
