TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
10964.571,445.69,436.45,281.56,-185.73,-319.66,-220.87,92.57,92.57,92.57
10964.618,363.52,465.88,275.70,-148.74,-320.96,-222.48,92.57,92.57,92.57
10964.649,363.52,465.88,275.70,-148.74,-320.96,-222.48,92.57,92.57,92.57
10964.696,381.73,460.94,274.01,-167.42,-324.39,-219.74,92.57,92.57,92.57
10964.727,381.73,460.94,274.01,-167.42,-324.39,-219.74,92.57,92.57,92.57
10964.774,417.70,456.68,280.63,-191.02,-335.38,-217.95,111.51,111.51,111.51
10964.837,417.70,456.68,280.63,-191.02,-335.38,-217.95,111.51,111.51,111.51
10964.884,396.38,459.33,277.95,-182.48,-326.21,-217.50,111.51,111.51,111.51
10964.915,396.38,459.33,277.95,-182.48,-326.21,-217.50,111.51,111.51,111.51
10964.946,381.67,448.90,274.69,-161.80,-314.92,-221.65,111.51,111.51,111.51
10964.993,381.67,448.90,274.69,-161.80,-314.92,-221.65,111.51,111.51,111.51
10965.024,404.45,442.84,277.97,-172.61,-319.24,-219.70,93.82,93.82,93.82
10965.071,404.45,442.84,277.97,-172.61,-319.24,-219.70,93.82,93.82,93.82
10965.102,394.73,491.00,277.44,-166.13,-346.70,-220.19,93.82,93.82,93.82
10965.165,394.73,491.00,277.44,-166.13,-346.70,-220.19,93.82,93.82,93.82
10965.207,486.89,470.92,279.00,-204.38,-339.43,-215.80,93.82,93.82,93.82
10965.254,486.89,470.92,279.00,-204.38,-339.43,-215.80,93.82,93.82,93.82
10965.285,392.33,437.61,275.76,-156.70,-302.54,-222.24,105.65,105.65,105.65
10965.332,392.33,437.61,275.76,-156.70,-302.54,-222.24,105.65,105.65,105.65
10965.363,408.92,459.41,275.22,-178.92,-330.14,-217.99,105.65,105.65,105.65
10965.41,408.92,459.41,275.22,-178.92,-330.14,-217.99,105.65,105.65,105.65
10965.457,374.23,423.47,273.37,-153.92,-306.29,-219.48,105.65,105.65,105.65
10965.488,374.23,423.47,273.37,-153.92,-306.29,-219.48,105.65,105.65,105.65
10965.535,397.54,457.54,270.73,-172.24,-330.60,-217.78,90.99,90.99,90.99
10965.566,397.54,457.54,270.73,-172.24,-330.60,-217.78,90.99,90.99,90.99
10965.613,419.25,430.10,277.40,-186.64,-315.58,-219.91,90.99,90.99,90.99
10965.645,419.25,430.10,277.40,-186.64,-315.58,-219.91,90.99,90.99,90.99
10965.691,389.82,451.22,271.56,-160.93,-321.29,-219.90,90.99,90.99,90.99
10965.723,389.82,451.22,271.56,-160.93,-321.29,-219.90,90.99,90.99,90.99
10965.77,397.87,449.92,273.02,-160.24,-315.46,-220.43,73.39,73.39,73.39
10965.801,397.87,449.92,273.02,-160.24,-315.46,-220.43,73.39,73.39,73.39
10965.848,379.95,477.27,269.08,-166.62,-337.94,-218.66,73.39,73.39,73.39
10965.879,379.95,477.27,269.08,-166.62,-337.94,-218.66,73.39,73.39,73.39
10965.941,406.44,449.45,274.30,-178.19,-324.93,-219.15,73.39,73.39,73.39
10965.973,406.44,449.45,274.30,-178.19,-324.93,-219.15,73.39,73.39,73.39
10966.02,406.44,449.45,274.30,-178.19,-324.93,-219.15,73.39,73.39,73.39
10966.051,395.28,434.29,279.40,-159.35,-317.09,-218.47,90.68,90.68,90.68
10966.098,395.28,434.29,279.40,-159.35,-317.09,-218.47,90.68,90.68,90.68
10966.129,438.65,484.06,288.14,-192.07,-341.75,-223.60,90.68,90.68,90.68
10966.176,438.65,484.06,288.14,-192.07,-341.75,-223.60,90.68,90.68,90.68
10966.207,642.39,448.50,284.35,325.52,-330.91,-227.72,90.68,90.68,90.68
10966.254,642.39,448.50,284.35,325.52,-330.91,-227.72,90.68,90.68,90.68
10966.285,846.63,458.07,269.63,-162.95,-323.44,-218.82,221.21,221.21,221.21
10966.332,846.63,458.07,269.63,-162.95,-323.44,-218.82,221.21,221.21,221.21
10966.363,740.21,421.65,281.53,-182.30,-307.14,-219.81,221.21,221.21,221.21
10966.41,740.21,421.65,281.53,-182.30,-307.14,-219.81,221.21,221.21,221.21
10966.457,647.14,456.24,294.93,-177.71,-321.93,-220.62,221.21,221.21,221.21
10966.504,647.14,456.24,294.93,-177.71,-321.93,-220.62,221.21,221.21,221.21
10966.535,649.00,431.66,300.65,-192.85,-319.55,-218.96,101.83,101.83,101.83
10966.582,649.00,431.66,300.65,-192.85,-319.55,-218.96,101.83,101.83,101.83
10966.629,614.30,413.83,301.26,-179.51,-306.90,-220.61,101.83,101.83,101.83
10966.66,614.30,413.83,301.26,-179.51,-306.90,-220.61,101.83,101.83,101.83
10966.691,599.36,448.46,279.54,-181.92,-326.27,-219.72,101.83,101.83,101.83
10966.738,599.36,448.46,279.54,-181.92,-326.27,-219.72,101.83,101.83,101.83
10966.77,619.74,469.54,280.73,-196.15,-339.03,-217.44,85.35,85.35,85.35
10966.817,619.74,469.54,280.73,-196.15,-339.03,-217.44,85.35,85.35,85.35
10966.848,619.74,469.54,280.73,-196.15,-339.03,-217.44,85.35,85.35,85.35
10966.879,595.73,456.24,279.22,-175.80,-321.65,-219.42,85.35,85.35,85.35
10966.926,595.73,456.24,279.22,-175.80,-321.65,-219.42,85.35,85.35,85.35
10966.957,644.14,472.02,283.31,-206.19,-340.05,-217.71,85.35,85.35,85.35
10967.004,644.14,472.02,283.31,-206.19,-340.05,-217.71,85.35,85.35,85.35
10967.051,627.40,398.81,291.44,-189.56,-299.16,-219.84,105.93,105.93,105.93
10967.082,627.40,398.81,291.44,-189.56,-299.16,-219.84,105.93,105.93,105.93
10967.113,648.89,436.04,299.67,-202.42,-322.76,-218.02,105.93,105.93,105.93
10967.16,648.89,436.04,299.67,-202.42,-322.76,-218.02,105.93,105.93,105.93
10967.202,604.14,449.02,312.47,-195.12,-322.21,-218.32,105.93,105.93,105.93
10967.249,604.14,449.02,312.47,-195.12,-322.21,-218.32,105.93,105.93,105.93
10967.28,576.81,495.55,301.77,-181.85,-343.01,-218.68,92.57,92.57,92.57
10967.327,576.81,495.55,301.77,-181.85,-343.01,-218.68,92.57,92.57,92.57
10967.358,618.25,400.82,298.81,-188.59,-302.66,-220.99,92.57,92.57,92.57
10967.405,618.25,400.82,298.81,-188.59,-302.66,-220.99,92.57,92.57,92.57
10967.437,553.63,445.50,295.88,-163.59,-315.21,-220.96,92.57,92.57,92.57
10967.484,553.63,445.50,295.88,-163.59,-315.21,-220.96,92.57,92.57,92.57
10967.53,564.81,441.82,294.34,-162.15,-311.94,-222.15,106.02,106.02,106.02
10967.593,564.81,441.82,294.34,-162.15,-311.94,-222.15,106.02,106.02,106.02
10967.624,551.82,472.60,274.10,-169.26,-333.20,-218.80,106.02,106.02,106.02
10967.671,551.82,472.60,274.10,-169.26,-333.20,-218.80,106.02,106.02,106.02
10967.702,590.66,486.40,269.78,-191.65,-348.20,-216.04,106.02,106.02,106.02
10967.749,590.66,486.40,269.78,-191.65,-348.20,-216.04,106.02,106.02,106.02
10967.78,583.74,462.86,290.98,-173.53,-330.39,-220.90,115.72,115.72,115.72
10967.827,583.74,462.86,290.98,-173.53,-330.39,-220.90,115.72,115.72,115.72
10967.859,592.20,402.48,280.55,-175.17,-297.33,-221.08,115.72,115.72,115.72
10967.905,592.20,402.48,280.55,-175.17,-297.33,-221.08,115.72,115.72,115.72
10967.937,585.27,442.75,275.21,-191.40,-323.85,-217.47,115.72,115.72,115.72
10967.984,585.27,442.75,275.21,-191.40,-323.85,-217.47,115.72,115.72,115.72
10968.03,588.28,434.38,279.56,-179.62,-319.73,-216.89,101.23,101.23,101.23
10968.062,588.28,434.38,279.56,-179.62,-319.73,-216.89,101.23,101.23,101.23
10968.093,588.28,434.38,279.56,-179.62,-319.73,-216.89,101.23,101.23,101.23
10968.14,590.08,449.09,277.90,-183.22,-320.42,-218.09,101.23,101.23,101.23
10968.171,590.08,449.09,277.90,-183.22,-320.42,-218.09,101.23,101.23,101.23
10968.218,577.99,460.18,271.07,-173.92,-322.93,-218.79,101.23,101.23,101.23
