TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
9792.6,405.71,497.91,392.76,-177.69,-366.38,-225.56,94.14,94.14,94.14
9792.647,382.58,461.94,392.84,-154.75,-349.53,-230.76,103.44,103.44,103.44
9792.678,382.58,461.94,392.84,-154.75,-349.53,-230.76,103.44,103.44,103.44
9792.725,357.69,496.76,387.74,-148.99,-364.28,-230.34,103.44,103.44,103.44
9792.756,357.69,496.76,387.74,-148.99,-364.28,-230.34,103.44,103.44,103.44
9792.788,357.69,496.76,387.74,-148.99,-364.28,-230.34,103.44,103.44,103.44
9792.819,364.74,510.08,389.70,-146.00,-370.53,-231.19,103.44,103.44,103.44
9792.866,364.74,510.08,389.70,-146.00,-370.53,-231.19,103.44,103.44,103.44
9792.897,406.17,524.51,390.53,-178.02,-379.08,-224.67,82.64,82.64,82.64
9792.944,406.17,524.51,390.53,-178.02,-379.08,-224.67,82.64,82.64,82.64
9792.975,399.58,494.99,391.24,-181.13,-370.58,-224.47,82.64,82.64,82.64
9793.022,399.58,494.99,391.24,-181.13,-370.58,-224.47,82.64,82.64,82.64
9793.053,403.46,503.49,391.00,-177.17,-372.33,-226.53,82.64,82.64,82.64
9793.1,403.46,503.49,391.00,-177.17,-372.33,-226.53,82.64,82.64,82.64
9793.131,403.05,482.23,390.14,-176.24,-365.16,-224.67,82.83,82.83,82.83
9793.189,403.05,482.23,390.14,-176.24,-365.16,-224.67,82.83,82.83,82.83
9793.236,418.29,499.92,384.89,-178.36,-372.39,-223.13,82.83,82.83,82.83
9793.267,418.29,499.92,384.89,-178.36,-372.39,-223.13,82.83,82.83,82.83
9793.314,377.60,511.22,382.62,-155.72,-371.62,-227.53,82.83,82.83,82.83
9793.353,377.60,511.22,382.62,-155.72,-371.62,-227.53,82.83,82.83,82.83
9793.416,398.58,477.22,386.81,-176.39,-366.78,-225.58,123.37,123.37,123.37
9793.447,398.58,477.22,386.81,-176.39,-366.78,-225.58,123.37,123.37,123.37
9793.494,391.78,508.30,383.26,-173.89,-376.51,-224.49,123.37,123.37,123.37
9793.525,391.78,508.30,383.26,-173.89,-376.51,-224.49,123.37,123.37,123.37
9793.572,382.33,494.75,390.27,-163.19,-360.00,-227.55,123.37,123.37,123.37
9793.619,382.33,494.75,390.27,-163.19,-360.00,-227.55,123.37,123.37,123.37
9793.65,395.83,532.78,392.61,-177.36,-378.13,-228.29,110.91,110.91,110.91
9793.712,394.82,456.85,391.04,-170.20,-347.89,-226.31,110.91,110.91,110.91
9793.744,394.82,456.85,391.04,-170.20,-347.89,-226.31,110.91,110.91,110.91
9793.775,394.82,456.85,391.04,-170.20,-347.89,-226.31,110.91,110.91,110.91
9793.822,402.27,458.09,392.52,-174.52,-350.92,-227.08,110.91,110.91,110.91
9793.853,402.27,458.09,392.52,-174.52,-350.92,-227.08,110.91,110.91,110.91
