TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
10462.743,443.52,475.41,376.83,-187.48,-361.84,-218.68,119.67,119.67,119.67
10462.775,428.24,489.01,371.65,-178.86,-364.12,-218.86,119.67,119.67,119.67
10462.822,428.24,489.01,371.65,-178.86,-364.12,-218.86,119.67,119.67,119.67
10462.868,397.67,478.60,376.01,-167.97,-354.78,-222.55,86.75,86.75,86.75
10462.915,397.67,478.60,376.01,-167.97,-354.78,-222.55,86.75,86.75,86.75
10462.962,448.58,464.06,375.27,-194.47,-356.64,-216.00,86.75,86.75,86.75
10463.009,448.58,464.06,375.27,-194.47,-356.64,-216.00,86.75,86.75,86.75
10463.056,409.32,463.36,371.64,-164.45,-354.44,-217.50,86.75,86.75,86.75
10463.103,409.32,463.36,371.64,-164.45,-354.44,-217.50,86.75,86.75,86.75
10463.134,428.19,481.67,369.00,-188.40,-366.26,-216.37,87.88,87.88,87.88
10463.168,428.19,481.67,369.00,-188.40,-366.26,-216.37,87.88,87.88,87.88
10463.207,426.42,487.16,371.52,-187.41,-370.71,-218.71,87.88,87.88,87.88
10463.254,426.42,487.16,371.52,-187.41,-370.71,-218.71,87.88,87.88,87.88
10463.301,450.88,461.50,376.74,-200.37,-358.88,-217.43,87.88,87.88,87.88
10463.348,450.88,461.50,376.74,-200.37,-358.88,-217.43,87.88,87.88,87.88
10463.395,417.62,481.65,369.82,-177.89,-361.97,-219.95,166.48,166.48,166.48
10463.442,454.11,503.33,367.05,-195.13,-376.78,-218.17,166.48,166.48,166.48
10463.504,454.11,503.33,367.05,-195.13,-376.78,-218.17,166.48,166.48,166.48
10463.567,463.23,514.98,368.45,-201.83,-384.69,-217.20,166.48,166.48,166.48
10463.598,433.50,475.76,368.49,-181.58,-365.70,-216.90,107.96,107.96,107.96
10463.645,433.50,475.76,368.49,-181.58,-365.70,-216.90,107.96,107.96,107.96
10463.692,445.77,441.03,372.88,-191.28,-354.27,-217.69,107.96,107.96,107.96
10463.723,445.77,441.03,372.88,-191.28,-354.27,-217.69,107.96,107.96,107.96
10463.77,412.93,470.55,372.91,-175.66,-356.97,-224.10,107.96,107.96,107.96
10463.817,412.93,470.55,372.91,-175.66,-356.97,-224.10,107.96,107.96,107.96
10463.848,408.27,522.43,369.64,-168.44,-375.57,-218.32,96.25,96.25,96.25
10463.895,408.27,522.43,369.64,-168.44,-375.57,-218.32,96.25,96.25,96.25
10463.942,441.34,488.76,368.09,-184.08,-365.76,-217.18,96.25,96.25,96.25
10463.989,441.34,488.76,368.09,-184.08,-365.76,-217.18,96.25,96.25,96.25
10464.067,405.72,488.02,367.54,-171.64,-358.91,-221.49,96.25,96.25,96.25
10464.114,438.85,528.64,363.97,-189.15,-385.15,-215.49,100.12,100.12,100.12
10464.145,438.85,528.64,363.97,-189.15,-385.15,-215.49,100.12,100.12,100.12
10464.192,452.17,528.84,366.23,-203.16,-390.85,-213.73,100.12,100.12,100.12
10464.254,452.17,528.84,366.23,-203.16,-390.85,-213.73,100.12,100.12,100.12
10464.301,436.90,529.93,389.27,-185.17,-389.79,-229.63,100.12,100.12,100.12
10464.332,436.90,529.93,389.27,-185.17,-389.79,-229.63,100.12,100.12,100.12
10464.379,402.20,521.08,371.96,-162.49,-371.69,-224.43,72.87,72.87,72.87
10464.442,402.20,521.08,371.96,-162.49,-371.69,-224.43,72.87,72.87,72.87
10464.489,437.75,528.23,365.83,-186.09,-385.65,-213.41,72.87,72.87,72.87
10464.551,393.58,523.30,364.71,-161.80,-373.96,-216.23,72.87,72.87,72.87
10464.614,434.52,447.00,373.32,-172.90,-349.45,-215.84,100.44,100.44,100.44
10464.661,434.52,447.00,373.32,-172.90,-349.45,-215.84,100.44,100.44,100.44
10464.704,396.89,465.89,369.01,-162.55,-350.99,-217.28,100.44,100.44,100.44
10464.736,396.89,465.89,369.01,-162.55,-350.99,-217.28,100.44,100.44,100.44
10464.767,434.41,494.11,369.31,-176.52,-367.73,-216.29,100.44,100.44,100.44
