TIME,WL1,WL2,WL3,VARL1,VARL2,VARL3,K-FACTORL1,K-FACTORL2,K-FACTORL3
7196.775,461.95,479.99,318.52,-197.63,-341.66,-234.58,110.82,110.82,110.82
7196.807,461.95,479.99,318.52,-197.63,-341.66,-234.58,110.82,110.82,110.82
7196.853,448.20,504.13,315.86,-194.52,-348.10,-234.97,92.37,92.37,92.37
7196.9,448.20,504.13,315.86,-194.52,-348.10,-234.97,92.37,92.37,92.37
7196.947,440.49,442.96,317.19,-179.78,-317.33,-238.24,92.37,92.37,92.37
7196.994,440.49,442.96,317.19,-179.78,-317.33,-238.24,92.37,92.37,92.37
7197.057,468.09,469.36,317.64,-199.12,-343.67,-235.44,92.37,92.37,92.37
7197.104,409.24,501.97,315.34,-166.45,-332.40,-238.98,97.12,97.12,97.12
7197.15,409.24,501.97,315.34,-166.45,-332.40,-238.98,97.12,97.12,97.12
7197.209,472.51,446.01,322.09,-204.45,-333.93,-236.43,97.12,97.12,97.12
7197.272,429.17,485.07,314.49,-183.28,-339.21,-236.54,97.12,97.12,97.12
7197.319,429.17,485.07,314.49,-183.28,-339.21,-236.54,97.12,97.12,97.12
7197.366,444.86,502.93,311.08,-190.64,-351.50,-233.22,98.97,98.97,98.97
7197.412,444.86,502.93,311.08,-190.64,-351.50,-233.22,98.97,98.97,98.97
7197.459,432.02,484.92,313.54,-184.91,-343.62,-235.17,98.97,98.97,98.97
7197.506,432.02,484.92,313.54,-184.91,-343.62,-235.17,98.97,98.97,98.97
7197.569,462.63,492.25,312.74,-196.08,-349.46,-233.13,98.97,98.97,98.97
7197.631,431.85,479.88,317.12,-186.80,-339.56,-234.86,118.01,118.01,118.01
7197.678,431.85,479.88,317.12,-186.80,-339.56,-234.86,118.01,118.01,118.01
7197.741,455.39,453.86,319.58,-192.20,-326.42,-235.34,118.01,118.01,118.01
7197.787,457.24,469.99,318.94,-183.84,-337.58,-234.84,118.01,118.01,118.01
7197.834,457.24,469.99,318.94,-183.84,-337.58,-234.84,118.01,118.01,118.01
7197.866,414.89,505.60,308.73,-179.53,-345.94,-233.04,77.72,77.72,77.72
